,Train Project,Test Project,Prediction Score
135,SeaMonkey,Firefox Build System,0.19
136,SeaMonkey,Socorro,0.05
137,SeaMonkey,DevTools,0.11
138,SeaMonkey,developer.mozilla.org,0.03
139,SeaMonkey,Participation Infrastructure,0.11
140,SeaMonkey,www.mozilla.org,0.00
141,SeaMonkey,Infrastructure & Operations,0.08
142,SeaMonkey,Developer Engagement,0.17
143,SeaMonkey,Enterprise Information Security,0.00
144,SeaMonkey,Instantbird,0.00
145,SeaMonkey,Chat Core,0.10
146,SeaMonkey,Mozilla Foundation Communications,0.01
147,SeaMonkey,Firefox for Android,0.06
148,SeaMonkey,Tree Management,0.15
149,SeaMonkey,Community Building,0.00
150,SeaMonkey,support.mozilla.org,0.00
151,SeaMonkey,bugzilla.mozilla.org,0.07
152,SeaMonkey,Developer Documentation,0.00
153,SeaMonkey,WebExtensions,0.11
154,SeaMonkey,Localization Infrastructure and Tools,0.04
155,SeaMonkey,Cloud Services,0.05
156,SeaMonkey,Firefox for iOS,0.03
157,SeaMonkey,Taskcluster,0.13
158,SeaMonkey,GeckoView,0.05
159,SeaMonkey,Release Engineering,0.22
160,SeaMonkey,Data Platform and Tools,0.06
161,SeaMonkey,Developer Services,0.08
162,SeaMonkey,Focus-iOS,0.00
163,SeaMonkey,Webtools,0.12
164,SeaMonkey,External Software Affecting Firefox,0.00
165,SeaMonkey,Conduit,0.10
166,SeaMonkey,Data Science,0.66
167,SeaMonkey,Shield,0.00
168,SeaMonkey,Remote Protocol,0.71
169,SeaMonkey,Testing Graveyard,0.00
170,SeaMonkey,Camino Graveyard,0.00
171,SeaMonkey,Core Graveyard,0.00
172,SeaMonkey,Cloud Services Graveyard,0.25
173,SeaMonkey,Firefox Graveyard,0.00
174,SeaMonkey,Add-on SDK Graveyard,0.00
175,SeaMonkey,Firefox for Android Graveyard,0.00
176,SeaMonkey,Toolkit Graveyard,0.00
177,SeaMonkey,Penelope Graveyard,0.00
178,SeaMonkey,Web Compatibility,0.00
179,SeaMonkey,Infrastructure & Operations Graveyard,1.00
180,SeaMonkey,DevTools Graveyard,0.18
181,SeaMonkey,Testopia,1.00
182,SeaMonkey,Directory,1.00
183,Bugzilla,Core,0.57
184,Bugzilla,MailNews Core,0.90
185,Bugzilla,SeaMonkey,0.88
186,Bugzilla,Firefox,0.57
187,Bugzilla,Other Applications,0.65
188,Bugzilla,NSS,0.92
189,Bugzilla,Calendar,0.84
190,Bugzilla,Thunderbird,0.93
191,Bugzilla,Marketing,0.21
192,Bugzilla,Toolkit,0.43
193,Bugzilla,NSPR,0.86
194,Bugzilla,mozilla.org,0.30
195,Bugzilla,Testing,0.31
196,Bugzilla,Firefox Build System,0.20
197,Bugzilla,Socorro,0.14
198,Bugzilla,DevTools,0.24
199,Bugzilla,developer.mozilla.org,0.15
200,Bugzilla,Participation Infrastructure,0.75
201,Bugzilla,www.mozilla.org,0.00
202,Bugzilla,Infrastructure & Operations,0.29
203,Bugzilla,Developer Engagement,0.50
204,Bugzilla,Enterprise Information Security,0.00
205,Bugzilla,Instantbird,0.00
206,Bugzilla,Chat Core,0.16
207,Bugzilla,Mozilla Foundation Communications,0.43
208,Bugzilla,Firefox for Android,0.18
209,Bugzilla,Tree Management,0.30
210,Bugzilla,Community Building,0.25
211,Bugzilla,support.mozilla.org,0.24
212,Bugzilla,bugzilla.mozilla.org,0.22
213,Bugzilla,Developer Documentation,0.03
214,Bugzilla,WebExtensions,0.17
215,Bugzilla,Localization Infrastructure and Tools,0.10
216,Bugzilla,Cloud Services,0.33
217,Bugzilla,Firefox for iOS,0.16
218,Bugzilla,Taskcluster,0.18
219,Bugzilla,GeckoView,0.22
220,Bugzilla,Release Engineering,0.11
221,Bugzilla,Data Platform and Tools,0.52
222,Bugzilla,Developer Services,0.23
223,Bugzilla,Focus-iOS,0.17
224,Bugzilla,Webtools,0.12
225,Bugzilla,External Software Affecting Firefox,0.17
226,Bugzilla,Conduit,0.03
227,Bugzilla,Data Science,0.34
228,Bugzilla,Shield,0.00
229,Bugzilla,Remote Protocol,0.78
230,Bugzilla,Testing Graveyard,0.00
231,Bugzilla,Camino Graveyard,0.00
232,Bugzilla,Core Graveyard,0.06
233,Bugzilla,Cloud Services Graveyard,0.25
234,Bugzilla,Firefox Graveyard,0.14
235,Bugzilla,Add-on SDK Graveyard,0.00
236,Bugzilla,Firefox for Android Graveyard,0.00
237,Bugzilla,Toolkit Graveyard,0.00
238,Bugzilla,Penelope Graveyard,0.00
239,Bugzilla,Web Compatibility,0.00
240,Bugzilla,Infrastructure & Operations Graveyard,0.33
241,Bugzilla,DevTools Graveyard,0.18
242,Bugzilla,Testopia,1.00
243,Bugzilla,Directory,0.96
244,Firefox,Core,0.83
245,Firefox,MailNews Core,0.61
246,Firefox,SeaMonkey,0.69
247,Firefox,Bugzilla,0.45
248,Firefox,Other Applications,0.62
249,Firefox,NSS,0.29
250,Firefox,Calendar,0.58
251,Firefox,Thunderbird,0.62
252,Firefox,Marketing,0.95
253,Firefox,Toolkit,0.91
254,Firefox,NSPR,0.41
255,Firefox,mozilla.org,0.97
256,Firefox,Testing,0.96
257,Firefox,Firefox Build System,0.96
258,Firefox,Socorro,0.91
259,Firefox,DevTools,0.95
260,Firefox,developer.mozilla.org,0.92
261,Firefox,Participation Infrastructure,0.95
262,Firefox,www.mozilla.org,1.00
263,Firefox,Infrastructure & Operations,0.95
264,Firefox,Developer Engagement,0.83
265,Firefox,Enterprise Information Security,0.36
266,Firefox,Instantbird,0.42
267,Firefox,Chat Core,0.87
268,Firefox,Mozilla Foundation Communications,0.93
269,Firefox,Firefox for Android,0.96
270,Firefox,Tree Management,0.98
271,Firefox,Community Building,1.00
272,Firefox,support.mozilla.org,0.88
273,Firefox,bugzilla.mozilla.org,0.85
274,Firefox,Developer Documentation,0.99
275,Firefox,WebExtensions,0.91
276,Firefox,Localization Infrastructure and Tools,1.00
277,Firefox,Cloud Services,0.92
278,Firefox,Firefox for iOS,0.93
279,Firefox,Taskcluster,0.97
280,Firefox,GeckoView,0.97
281,Firefox,Release Engineering,0.96
282,Firefox,Data Platform and Tools,1.00
283,Firefox,Developer Services,0.97
284,Firefox,Focus-iOS,1.00
285,Firefox,Webtools,0.91
286,Firefox,External Software Affecting Firefox,1.00
287,Firefox,Conduit,0.85
288,Firefox,Data Science,0.98
289,Firefox,Shield,0.83
290,Firefox,Remote Protocol,0.99
291,Firefox,Testing Graveyard,0.00
292,Firefox,Camino Graveyard,0.00
293,Firefox,Core Graveyard,0.28
294,Firefox,Cloud Services Graveyard,1.00
295,Firefox,Firefox Graveyard,1.00
296,Firefox,Add-on SDK Graveyard,1.00
297,Firefox,Firefox for Android Graveyard,0.00
298,Firefox,Toolkit Graveyard,0.25
299,Firefox,Penelope Graveyard,0.00
300,Firefox,Web Compatibility,1.00
301,Firefox,Infrastructure & Operations Graveyard,1.00
302,Firefox,DevTools Graveyard,1.00
303,Firefox,Testopia,0.42
304,Firefox,Directory,0.16
305,Other Applications,Core,0.45
306,Other Applications,MailNews Core,0.89
307,Other Applications,SeaMonkey,0.89
308,Other Applications,Bugzilla,0.83
309,Other Applications,Firefox,0.40
310,Other Applications,NSS,0.94
311,Other Applications,Calendar,0.81
312,Other Applications,Thunderbird,0.89
313,Other Applications,Marketing,0.03
314,Other Applications,Toolkit,0.22
315,Other Applications,NSPR,0.89
316,Other Applications,mozilla.org,0.16
317,Other Applications,Testing,0.02
318,Other Applications,Firefox Build System,0.04
319,Other Applications,Socorro,0.02
320,Other Applications,DevTools,0.03
321,Other Applications,developer.mozilla.org,0.00
322,Other Applications,Participation Infrastructure,0.00
323,Other Applications,www.mozilla.org,0.00
324,Other Applications,Infrastructure & Operations,0.03
325,Other Applications,Developer Engagement,0.00
326,Other Applications,Enterprise Information Security,0.00
327,Other Applications,Instantbird,0.00
328,Other Applications,Chat Core,0.05
329,Other Applications,Mozilla Foundation Communications,0.00
330,Other Applications,Firefox for Android,0.01
331,Other Applications,Tree Management,0.05
332,Other Applications,Community Building,0.00
333,Other Applications,support.mozilla.org,0.00
334,Other Applications,bugzilla.mozilla.org,0.02
335,Other Applications,Developer Documentation,0.00
336,Other Applications,WebExtensions,0.04
337,Other Applications,Localization Infrastructure and Tools,0.00
338,Other Applications,Cloud Services,0.03
339,Other Applications,Firefox for iOS,0.00
340,Other Applications,Taskcluster,0.04
341,Other Applications,GeckoView,0.02
342,Other Applications,Release Engineering,0.04
343,Other Applications,Data Platform and Tools,0.00
344,Other Applications,Developer Services,0.01
345,Other Applications,Focus-iOS,0.00
346,Other Applications,Webtools,0.12
347,Other Applications,External Software Affecting Firefox,0.00
348,Other Applications,Conduit,0.02
349,Other Applications,Data Science,0.00
350,Other Applications,Shield,0.00
351,Other Applications,Remote Protocol,0.00
352,Other Applications,Testing Graveyard,0.00
353,Other Applications,Camino Graveyard,0.00
354,Other Applications,Core Graveyard,0.00
355,Other Applications,Cloud Services Graveyard,0.00
356,Other Applications,Firefox Graveyard,0.00
357,Other Applications,Add-on SDK Graveyard,0.00
358,Other Applications,Firefox for Android Graveyard,0.00
359,Other Applications,Toolkit Graveyard,0.00
360,Other Applications,Penelope Graveyard,0.00
361,Other Applications,Web Compatibility,0.00
362,Other Applications,Infrastructure & Operations Graveyard,0.00
363,Other Applications,DevTools Graveyard,0.00
364,Other Applications,Testopia,1.00
365,Other Applications,Directory,0.92
366,NSS,Core,0.45
367,NSS,MailNews Core,0.91
368,NSS,SeaMonkey,0.92
369,NSS,Bugzilla,0.86
370,NSS,Firefox,0.37
371,NSS,Other Applications,0.69
372,NSS,Calendar,0.83
373,NSS,Thunderbird,0.91
374,NSS,Marketing,0.00
375,NSS,Toolkit,0.21
376,NSS,NSPR,0.89
377,NSS,mozilla.org,0.00
378,NSS,Testing,0.01
379,NSS,Firefox Build System,0.01
380,NSS,Socorro,0.00
381,NSS,DevTools,0.00
382,NSS,developer.mozilla.org,0.00
383,NSS,Participation Infrastructure,0.02
384,NSS,www.mozilla.org,0.00
385,NSS,Infrastructure & Operations,0.00
386,NSS,Developer Engagement,0.00
387,NSS,Enterprise Information Security,0.00
388,NSS,Instantbird,0.00
389,NSS,Chat Core,0.01
390,NSS,Mozilla Foundation Communications,0.00
391,NSS,Firefox for Android,0.00
392,NSS,Tree Management,0.00
393,NSS,Community Building,0.00
394,NSS,support.mozilla.org,0.00
395,NSS,bugzilla.mozilla.org,0.01
396,NSS,Developer Documentation,0.00
397,NSS,WebExtensions,0.00
398,NSS,Localization Infrastructure and Tools,0.00
399,NSS,Cloud Services,0.00
400,NSS,Firefox for iOS,0.00
401,NSS,Taskcluster,0.00
402,NSS,GeckoView,0.00
403,NSS,Release Engineering,0.00
404,NSS,Data Platform and Tools,0.00
405,NSS,Developer Services,0.00
406,NSS,Focus-iOS,0.00
407,NSS,Webtools,0.12
408,NSS,External Software Affecting Firefox,0.00
409,NSS,Conduit,0.00
410,NSS,Data Science,0.00
411,NSS,Shield,0.00
412,NSS,Remote Protocol,0.00
413,NSS,Testing Graveyard,0.00
414,NSS,Camino Graveyard,0.00
415,NSS,Core Graveyard,0.00
416,NSS,Cloud Services Graveyard,0.00
417,NSS,Firefox Graveyard,0.00
418,NSS,Add-on SDK Graveyard,0.00
419,NSS,Firefox for Android Graveyard,0.00
420,NSS,Toolkit Graveyard,0.00
421,NSS,Penelope Graveyard,0.00
422,NSS,Web Compatibility,0.00
423,NSS,Infrastructure & Operations Graveyard,0.00
424,NSS,DevTools Graveyard,0.00
425,NSS,Testopia,1.00
426,NSS,Directory,1.00
427,Calendar,Core,0.45
428,Calendar,MailNews Core,0.91
429,Calendar,SeaMonkey,0.92
430,Calendar,Bugzilla,0.86
431,Calendar,Firefox,0.38
432,Calendar,Other Applications,0.69
433,Calendar,NSS,0.96
434,Calendar,Thunderbird,0.91
435,Calendar,Marketing,0.04
436,Calendar,Toolkit,0.21
437,Calendar,NSPR,0.89
438,Calendar,mozilla.org,0.00
439,Calendar,Testing,0.02
440,Calendar,Firefox Build System,0.00
441,Calendar,Socorro,0.00
442,Calendar,DevTools,0.01
443,Calendar,developer.mozilla.org,0.00
444,Calendar,Participation Infrastructure,0.00
445,Calendar,www.mozilla.org,0.00
446,Calendar,Infrastructure & Operations,0.00
447,Calendar,Developer Engagement,0.00
448,Calendar,Enterprise Information Security,0.00
449,Calendar,Instantbird,0.00
450,Calendar,Chat Core,0.01
451,Calendar,Mozilla Foundation Communications,0.00
452,Calendar,Firefox for Android,0.01
453,Calendar,Tree Management,0.01
454,Calendar,Community Building,0.00
455,Calendar,support.mozilla.org,0.00
456,Calendar,bugzilla.mozilla.org,0.02
457,Calendar,Developer Documentation,0.00
458,Calendar,WebExtensions,0.00
459,Calendar,Localization Infrastructure and Tools,0.00
460,Calendar,Cloud Services,0.00
461,Calendar,Firefox for iOS,0.00
462,Calendar,Taskcluster,0.05
463,Calendar,GeckoView,0.00
464,Calendar,Release Engineering,0.00
465,Calendar,Data Platform and Tools,0.00
466,Calendar,Developer Services,0.00
467,Calendar,Focus-iOS,0.00
468,Calendar,Webtools,0.12
469,Calendar,External Software Affecting Firefox,0.00
470,Calendar,Conduit,0.01
471,Calendar,Data Science,0.02
472,Calendar,Shield,0.00
473,Calendar,Remote Protocol,0.00
474,Calendar,Testing Graveyard,0.00
475,Calendar,Camino Graveyard,0.00
476,Calendar,Core Graveyard,0.00
477,Calendar,Cloud Services Graveyard,0.00
478,Calendar,Firefox Graveyard,0.00
479,Calendar,Add-on SDK Graveyard,0.00
480,Calendar,Firefox for Android Graveyard,0.00
481,Calendar,Toolkit Graveyard,0.00
482,Calendar,Penelope Graveyard,0.00
483,Calendar,Web Compatibility,0.00
484,Calendar,Infrastructure & Operations Graveyard,0.00
485,Calendar,DevTools Graveyard,0.00
486,Calendar,Testopia,1.00
487,Calendar,Directory,1.00
488,Thunderbird,Core,0.60
489,Thunderbird,MailNews Core,0.92
490,Thunderbird,SeaMonkey,0.94
491,Thunderbird,Bugzilla,0.86
492,Thunderbird,Firefox,0.60
493,Thunderbird,Other Applications,0.69
494,Thunderbird,NSS,0.94
495,Thunderbird,Calendar,0.85
496,Thunderbird,Marketing,0.57
497,Thunderbird,Toolkit,0.50
498,Thunderbird,NSPR,0.86
499,Thunderbird,mozilla.org,0.29
500,Thunderbird,Testing,0.25
501,Thunderbird,Firefox Build System,0.37
502,Thunderbird,Socorro,0.36
503,Thunderbird,DevTools,0.26
504,Thunderbird,developer.mozilla.org,0.10
505,Thunderbird,Participation Infrastructure,0.84
506,Thunderbird,www.mozilla.org,0.00
507,Thunderbird,Infrastructure & Operations,0.26
508,Thunderbird,Developer Engagement,0.00
509,Thunderbird,Enterprise Information Security,0.00
510,Thunderbird,Instantbird,0.00
511,Thunderbird,Chat Core,0.15
512,Thunderbird,Mozilla Foundation Communications,0.18
513,Thunderbird,Firefox for Android,0.30
514,Thunderbird,Tree Management,0.37
515,Thunderbird,Community Building,0.00
516,Thunderbird,support.mozilla.org,0.24
517,Thunderbird,bugzilla.mozilla.org,0.24
518,Thunderbird,Developer Documentation,0.00
519,Thunderbird,WebExtensions,0.30
520,Thunderbird,Localization Infrastructure and Tools,0.08
521,Thunderbird,Cloud Services,0.18
522,Thunderbird,Firefox for iOS,0.03
523,Thunderbird,Taskcluster,0.21
524,Thunderbird,GeckoView,0.26
525,Thunderbird,Release Engineering,0.17
526,Thunderbird,Data Platform and Tools,0.18
527,Thunderbird,Developer Services,0.21
528,Thunderbird,Focus-iOS,0.00
529,Thunderbird,Webtools,0.24
530,Thunderbird,External Software Affecting Firefox,0.00
531,Thunderbird,Conduit,0.03
532,Thunderbird,Data Science,0.77
533,Thunderbird,Shield,0.17
534,Thunderbird,Remote Protocol,0.75
535,Thunderbird,Testing Graveyard,0.00
536,Thunderbird,Camino Graveyard,0.00
537,Thunderbird,Core Graveyard,0.00
538,Thunderbird,Cloud Services Graveyard,0.25
539,Thunderbird,Firefox Graveyard,0.71
540,Thunderbird,Add-on SDK Graveyard,0.00
541,Thunderbird,Firefox for Android Graveyard,0.00
542,Thunderbird,Toolkit Graveyard,0.00
543,Thunderbird,Penelope Graveyard,0.00
544,Thunderbird,Web Compatibility,0.00
545,Thunderbird,Infrastructure & Operations Graveyard,0.33
546,Thunderbird,DevTools Graveyard,0.73
547,Thunderbird,Testopia,1.00
548,Thunderbird,Directory,1.00
549,Marketing,Core,0.54
550,Marketing,MailNews Core,0.06
551,Marketing,SeaMonkey,0.05
552,Marketing,Bugzilla,0.12
553,Marketing,Firefox,0.62
554,Marketing,Other Applications,0.27
555,Marketing,NSS,0.03
556,Marketing,Calendar,0.11
557,Marketing,Thunderbird,0.08
558,Marketing,Toolkit,0.78
559,Marketing,NSPR,0.11
560,Marketing,mozilla.org,1.00
561,Marketing,Testing,0.99
562,Marketing,Firefox Build System,0.98
563,Marketing,Socorro,0.96
564,Marketing,DevTools,0.98
565,Marketing,developer.mozilla.org,0.99
566,Marketing,Participation Infrastructure,0.99
567,Marketing,www.mozilla.org,1.00
568,Marketing,Infrastructure & Operations,0.99
569,Marketing,Developer Engagement,0.83
570,Marketing,Enterprise Information Security,1.00
571,Marketing,Instantbird,1.00
572,Marketing,Chat Core,0.97
573,Marketing,Mozilla Foundation Communications,1.00
574,Marketing,Firefox for Android,0.98
575,Marketing,Tree Management,0.99
576,Marketing,Community Building,1.00
577,Marketing,support.mozilla.org,0.88
578,Marketing,bugzilla.mozilla.org,0.96
579,Marketing,Developer Documentation,1.00
580,Marketing,WebExtensions,0.95
581,Marketing,Localization Infrastructure and Tools,1.00
582,Marketing,Cloud Services,0.92
583,Marketing,Firefox for iOS,0.99
584,Marketing,Taskcluster,0.99
585,Marketing,GeckoView,1.00
586,Marketing,Release Engineering,0.99
587,Marketing,Data Platform and Tools,1.00
588,Marketing,Developer Services,0.99
589,Marketing,Focus-iOS,1.00
590,Marketing,Webtools,0.79
591,Marketing,External Software Affecting Firefox,1.00
592,Marketing,Conduit,0.93
593,Marketing,Data Science,0.98
594,Marketing,Shield,0.83
595,Marketing,Remote Protocol,1.00
596,Marketing,Testing Graveyard,1.00
597,Marketing,Camino Graveyard,0.00
598,Marketing,Core Graveyard,0.67
599,Marketing,Cloud Services Graveyard,1.00
600,Marketing,Firefox Graveyard,1.00
601,Marketing,Add-on SDK Graveyard,1.00
602,Marketing,Firefox for Android Graveyard,0.00
603,Marketing,Toolkit Graveyard,0.25
604,Marketing,Penelope Graveyard,0.00
605,Marketing,Web Compatibility,1.00
606,Marketing,Infrastructure & Operations Graveyard,1.00
607,Marketing,DevTools Graveyard,1.00
608,Marketing,Testopia,0.00
609,Marketing,Directory,0.00
610,Toolkit,Core,0.65
611,Toolkit,MailNews Core,0.25
612,Toolkit,SeaMonkey,0.29
613,Toolkit,Bugzilla,0.19
614,Toolkit,Firefox,0.79
615,Toolkit,Other Applications,0.37
616,Toolkit,NSS,0.07
617,Toolkit,Calendar,0.25
618,Toolkit,Thunderbird,0.34
619,Toolkit,Marketing,0.97
620,Toolkit,NSPR,0.23
621,Toolkit,mozilla.org,0.97
622,Toolkit,Testing,0.99
623,Toolkit,Firefox Build System,0.97
624,Toolkit,Socorro,0.96
625,Toolkit,DevTools,0.98
626,Toolkit,developer.mozilla.org,0.99
627,Toolkit,Participation Infrastructure,0.99
628,Toolkit,www.mozilla.org,1.00
629,Toolkit,Infrastructure & Operations,0.99
630,Toolkit,Developer Engagement,0.83
631,Toolkit,Enterprise Information Security,1.00
632,Toolkit,Instantbird,1.00
633,Toolkit,Chat Core,0.94
634,Toolkit,Mozilla Foundation Communications,1.00
635,Toolkit,Firefox for Android,0.96
636,Toolkit,Tree Management,0.99
637,Toolkit,Community Building,1.00
638,Toolkit,support.mozilla.org,0.88
639,Toolkit,bugzilla.mozilla.org,0.94
640,Toolkit,Developer Documentation,1.00
641,Toolkit,WebExtensions,0.95
642,Toolkit,Localization Infrastructure and Tools,1.00
643,Toolkit,Cloud Services,0.92
644,Toolkit,Firefox for iOS,0.99
645,Toolkit,Taskcluster,0.99
646,Toolkit,GeckoView,1.00
647,Toolkit,Release Engineering,0.96
648,Toolkit,Data Platform and Tools,1.00
649,Toolkit,Developer Services,0.99
650,Toolkit,Focus-iOS,1.00
651,Toolkit,Webtools,0.88
652,Toolkit,External Software Affecting Firefox,1.00
653,Toolkit,Conduit,0.93
654,Toolkit,Data Science,0.98
655,Toolkit,Shield,0.83
656,Toolkit,Remote Protocol,1.00
657,Toolkit,Testing Graveyard,1.00
658,Toolkit,Camino Graveyard,0.00
659,Toolkit,Core Graveyard,0.61
660,Toolkit,Cloud Services Graveyard,1.00
661,Toolkit,Firefox Graveyard,1.00
662,Toolkit,Add-on SDK Graveyard,1.00
663,Toolkit,Firefox for Android Graveyard,0.00
664,Toolkit,Toolkit Graveyard,0.25
665,Toolkit,Penelope Graveyard,0.00
666,Toolkit,Web Compatibility,1.00
667,Toolkit,Infrastructure & Operations Graveyard,1.00
668,Toolkit,DevTools Graveyard,1.00
669,Toolkit,Testopia,0.08
670,Toolkit,Directory,0.04
671,NSPR,Core,0.45
672,NSPR,MailNews Core,0.91
673,NSPR,SeaMonkey,0.92
674,NSPR,Bugzilla,0.86
675,NSPR,Firefox,0.37
676,NSPR,Other Applications,0.69
677,NSPR,NSS,0.97
678,NSPR,Calendar,0.83
679,NSPR,Thunderbird,0.91
680,NSPR,Marketing,0.00
681,NSPR,Toolkit,0.20
682,NSPR,mozilla.org,0.00
683,NSPR,Testing,0.00
684,NSPR,Firefox Build System,0.00
685,NSPR,Socorro,0.00
686,NSPR,DevTools,0.00
687,NSPR,developer.mozilla.org,0.00
688,NSPR,Participation Infrastructure,0.00
689,NSPR,www.mozilla.org,0.00
690,NSPR,Infrastructure & Operations,0.00
691,NSPR,Developer Engagement,0.00
692,NSPR,Enterprise Information Security,0.00
693,NSPR,Instantbird,0.00
694,NSPR,Chat Core,0.00
695,NSPR,Mozilla Foundation Communications,0.00
696,NSPR,Firefox for Android,0.00
697,NSPR,Tree Management,0.00
698,NSPR,Community Building,0.00
699,NSPR,support.mozilla.org,0.00
700,NSPR,bugzilla.mozilla.org,0.00
701,NSPR,Developer Documentation,0.00
702,NSPR,WebExtensions,0.00
703,NSPR,Localization Infrastructure and Tools,0.00
704,NSPR,Cloud Services,0.00
705,NSPR,Firefox for iOS,0.00
706,NSPR,Taskcluster,0.00
707,NSPR,GeckoView,0.00
708,NSPR,Release Engineering,0.00
709,NSPR,Data Platform and Tools,0.00
710,NSPR,Developer Services,0.00
711,NSPR,Focus-iOS,0.00
712,NSPR,Webtools,0.12
713,NSPR,External Software Affecting Firefox,0.00
