requirement,description,details
3.11,Configuration Parameters,Commented [4]: I suggest we do not make thisconfigurable. these options could make training andtroubleshooting far more difficult
4.1,Configuration Page,"To begin, we won’t have a portal configuration page specific to PTT. As you can see from theabove section “Configuration Parameters”, there are a number of parameters which maysomeday need configuration selections. To start, if a device has a PTT service plan, they geteverything. As follow up phases to the project we will add more configuration settings to theportal to begin, we will choose as many defaults as possible."
4.2,Default Button Mapping,"The firmware is going to parameterize the button mapping so it will fall to the software to tell ithow to map buttons. To start, we will be restrictive about this. When PTT is available on adevice, the PTT transmit button will be latch press.If early check-in is enabled at the same time as PTT, the act of transmitting will be considered acheck-in. The user won’t need to hold down the latch for 3 seconds, the device won’t vibrate,the screen won’t show the check-in successful screen, it won’t make the check-in successfulbeep. The device will however reset the reminder countdown on the device and send an earlycheck-in message to the portal.Commented [5]: so the PTT server cannot becompletely standalone... we need to interact with theportal on each transmission so it can decide whether acheck-in has occurredCommented [6]: +kjohnson@blacklinesafety.comCould you confirm the name of the PTT service plansplease._Assigned to Kirk Johnson_Commented [7]: This needs some thought. Linkingfunctionality to the service plan may be tricky. It mightbe better to have a setting on the config that turns PTTon. Need to discuss with devs.If silent alert on latch push is enabled at the same time as PTT, the silent alert will be overriddenand not function at all. Since it will be possible to have a mix of PTT and non-PTT devices in thesame configuration, it will be difficult to intelligently disable Silent SOS. To begin, we’ll add astatic warning message to the Silent SOS setting that tells the user this won’t work with PTT.When we review configurations with the secondary config project we may choose to dosomething more dynamic, but not for the first implementation.If the device already has early check-in enabled, that will move to the OK button. If the devicealready has silent SOS is set to latch press, that will be moved to the OK button. As theconfiguration page stands today a user can’t have silent SOS on latch press and early check-insconfigured at the same time, so this doesn’t change.At some point we will add text to the configuration page explaining this button mapping, but notuntil will have thoroughly tested PTT and confirmed how it will function in the field."
4.3,Service Plans,"There will be two new device service plans. Voice + PTT (formally known as silver) andBlackline monitored voice + PTT (formally known as gold). Kirk will need to confirm namingconventions. Both of these plans include voice. This needs to be shown and selectable in theportal the same way all of our other service plans are. This service plan will give all of thefunctionality of a voice plan, with the added features of PTT.Since the portal will know what service plan a device has, the portal will need to tell the devicewhether or not to display PTT options. This can be bundled into the config message or sent as aseparate message. Work with Firmware on this."
4.4,Organization Specific,"Commented [8]: How do channels work on theserver? If a device is broadcasting on Channel 2 whatdoes the server do?Commented [9]: +kjohnson@blacklinesafety.comCould you confirm pricing? At least as a starting point._Assigned to Kirk Johnson_For phase 1, PTT channels are organization specific. Meaning that a device in organization Aon channel 1 can not hear or speak with a device in organization B on channel 1.This is phase 1 because there is a risk that too many devices using the same channel will“break” the system. We touch on this risk in the 2017-04-21 meeting notes below. For thisreason it is important that the system “fail gracefully”. Meaning that if the system becomesoverloaded at any point (device, server, cell tower) the entire system does not shut down. PTTmessages can be “lost” but alert messages can not. We need to understand the ramifications ofoverload failures because we don’t yet understand the technical limitations of the systemtherefore run the risk of surpassing them.Once we learn more about the system we can “throttle” the number of devices using a set ofchannels. This would be a Phase 2 activity. The basic idea is that a single organization canhave multiple channel sets. Different devices could be assigned to a different channel set. Eachchannel set would have a cap, limiting the number of devices able to use it."
4.5,Functional Requirements,"When pressing the PTT button the beep sound will start immediately. The initial beep should bepulses 750 ms, so 250 ms per pulse, and this will begin the transmission. If the user brieflyholds down the button for, say <500 ms, Then you will only hear half the tone.Use this beeping time to build your buffer and initiate the PTT.Total time of latency between a user talking and their channel members hearing should be 2seconds. From first word spoken to first word heard including the receiving beeps. Includingbeeps. Use the beeps as buffer, start the PTT initiation immediately.Note: A regular phone call is 500 ms.We expect the same voice quality as the current call functionality.Mono sound is fine."
4.6,Pricing,"(Kirk to confirm) An IS Motorola radio is $700. Goal is PTT is +$30/mo to your service plan ona device. This would be $1,080 for three years. That’s pre-discount. Customers won’t really paythis. If we end up at $10 MSRP we failed. $20 feels like the right answer but we are going tostart a little higher and see how we can achieve that stretch goal.Idea: Enterprise model. Organizational PTT. Pay for minute packages. The more you use it themore you get builded. As you use it more that price goes up. Small companies that use it a lotwill pay the same as large companies that use it rarely. This is a similar concept to what wewant to do for Loner mobile. Maybe if you have +300 units you are eligible for the enterpriseoption."
5.1,Custom channel selection and naming,"The device and server side routing tables will support 0-99 channels. We’ll only start with 0-9.Deciding which channels will be displayed on the device will be decided by the portal deviceconfig.We would like to name the channels using the portal device config. For example channel 4might be called “welding group”.Considering the above feature request, here is an example. A team manager can go into theportal and decide that 10 devices are going to have access to 3 channels. The managerchooses to give the devices access to channel 3, 7 and 8. The manager then gives thechannels short custom names Alpha, Beta, Gamma. When the employees look at their devicesthey won’t see 1, 2, 3, 4 etc. They will see 3-Alpha, 7-Beta, 8-Gamma. If a device selects 7-Beta, their G7 status screen will show Ch.7 at the top."
5.2,Loner Mobile integration,Loner Mobile should be able to use this same PTT system and be able to communicate with G7devices on the same channels.
5.3,Portal direct communication,Monitoring personnel with a headset should be able to use their computer to listen to andcommunicate on PTT channels with G7 and Loner Mobile devices. Essentially the web interfacebecomes it’s own PTT device capable of sending and receiving.
5.4,Voice to text,"The portal should be able to transcribe PTT voice communications into written text. Blacklinewould be able to search this information to better understand how customers are using thesystem. This could be used after an alert to review as notes, but we will want to be very carefulhow much of this we display in the customer facing portal UI until we are confident in theaccuracy of the transcribed text."
5.5,Natural language speech recognition - Amazon Lex,"Instead of PTT, a device user can talk to Lex (or Google Assistent). The device user could say. “Change my configuration to SCBA for 30 minutes”. “Clear my peak readings”. “I’m entering a high danger area” or I’m leaving a high danger area”When the device detects a potential fall it could as “I’ve detected a fall, are you ok?” and theuser could respond “Yes” to stand down the pending alarm.Meeting Notes"
5.6,2017-04-21,Phil . Sean . Barry . Charlie . Cody . Kelly . Steve
5.7,Questions,". What is the total estimated number of customers using PTT? This is total in the system,not on the same channel set. (channel set or pool, describes devices when channel 1 isthe same for multiple devices. The all-call with reach all devices in the same channelset). From a business perspective we don’t want an upper limit on this. If customerswant millions of them we are happy to support that.. We should aim for a user base of 100,000 before a re-architecture is required.. How many devices can share a channel set at one time?. The portal aims for 5,000 per org. Having that many users on a channel setposes technical issues and usability issues. We are not trying to achieve 5,000.. Even 100 devices on the same channel set is a lot. This should be our upperlimit.. MVP (minimum viable product) will be 25 devices on the same channel set.. How many can be on the all-call channel at one time?. If we have to limit the number of devices set to all-call due to technical limitationswe can have a limit of 5. From a usability point of view we would prefer to notforce this limitation. It will become unusable from a practical perspective, makingit almost self-officiated. If we have to limit it, we’ll come up with a way for theserver to NAK (reject) a device request to use the all-call and display a messageto that effect.. How do we define a channel set? Organization, Group or Other?Commented [10]: We also need to know how thedevice users will use PTT. The upper bound is thatthere is continuous traffic on each channel.Commented [11]: I'm not clear on this. My thinking isthis limit is defined by the above parameters. That is,channels). Transmitting on the All-Channel goes to alldevices in the channel set. Therefore the limit of the all-channel is 100 devices.Is this what you are thinking Phil?Commented [12]: we should call this solutionabandoned right away. By setting the channel set atthe organization level we would restrict a large andprobably geographically diverse organization to only 8channels.I think groups is the way to go in order to enable thesolution to scale. We can limit each user to a singlePTT group.. Channel sets are described above as being determined by the organization. With. Groups was pitched as an idea, and as a lot of appeal. The main problem is thevenn-diagram effect. Devices can be in multiple groups at one time.. We’ll probably need to define a separate way to assign a channel set. This couldbe through a configuration, which would be clean, but perhaps limiting if thecompany wants to have two different configurations on the same channel set.Alternatively, channel sets could be an option within a device configuration. Thatis the most flexible, but introduces another layer of complexity for users.. If we limit the number of users in a channel set, this will need to be handled bythe server. It will need some UI to let customers know when and why this is beinglimited."
5.8,Risks,". Data plan on device sims. There is a risk of the cost being high. We may need a new plan. May need to goback to pooling. To mitigate this, Kevin Meyers has been asked to look into theoptions if/when we need more data.. Risk in latency issues. FW is concerned that our SIM plans might throttle datadepending on the carrier our SIM is using.. Inconsistent latency. Latency will depend on time of day, number of users, location.. We won’t be able to guarantee a maximum latency to customers.. Voice Quality. Very best case, it will be the same as a voice call. But this is not expected andit’s all downhill from there.. Battery drain. Depends how much someone uses PTT. We’re unsure of the impact but itsounds like low risk for the expected use cases.. Server message priority. Currently the server doesn’t prioritize messages. With the increase in servertraffic this may be the point where we don’t just spend more money on a biggerserver, we prioritize important messages like alerts.. Single VPN pipe. We only have one VPN machine at Amazon. This already keeps Ray up at nightbecause it is a single point of failure with no back up.. With the added load on the VPN it would be a good time to pay for the extra pipe.It will lower our risk for all traffic, not just PTT.. In bed with Telnor. This project will make it a little harder to move away from Telenor if we have to.Not impossible though. Once we figure it out with them, we could figure it out withanother carrier.. We’re more tied to Telenor because of the SIMs in the field.. Does this make us a “telecommunication provider”?. If so there are requirements, for example law enforcement might want access toour transmissions.. Scott Jacobson raised this issue and is looking into it."
5.9,Technical Choices,. Mixing two transmissions at the same time.. FW was planning on handling the mixing of multiple transmissions that arrive atthe device simultaneously. A maximum of 3 would be compiled together at once.. Alternatively SW could handle the mixing and send that out to the device ordevices receiving them.. The customer won’t see a difference between these two methods. It will be atechnical choice made by FW and SW.. No mixing is planned anymore.
