,SS,label
SubSec 10.5.1,10.5.1,Authorised networks shall be listed (or automatically selected if automatic selectionhas been enabled) in the following order: (M)- home EIRENE network;- ‘foreign’ EIRENE networks;- public networks.
SubSec 10.5.2,10.5.2,"Where EIRENE facilities are not available within the currently selected network, theuser shall be given a visible indication. (M)"
SubSec 10.6,10.6,Access matrix
SubSec 10.6.1,10.6.1,The access matrix defines which subscribers are able to contact which other subscriberswithin the EIRENE network. (M)
SubSec 10.6.2,10.6.2,“Yes” indicates that the network shall allow a call from the stated initiating party to thestated receiving party. “Yes*” indicates that the call shall be allowed at least for userson the same train. “Open” indicates that permissions for calls of this type are to beassigned by the implementing railway according to their specific communicationrequirements. Shaded cells on the access matrix mean that this call is outside the scopeof the EIRENE specifications. The access matrix is shown in table 10-2. (M)Receiving PartyPrimaryControllerSecondaryControllerPowerControllerLeadDriverOtherDriverChiefConductorPublicAddressPrimaryControllerYes Open Open OpenSecondaryControllerYes Open Open OpenPowerControllerYes Open Open OpenLeadDriverYes Yes Yes Open Yes* Yes* Yes*OtherDriverYes Yes Yes Yes* Yes* Yes* Yes*ChiefConductorOpen Open Open Yes* Yes* Yes* Yes*Initiating PartyPublicAddress* At least for persons on the same trainTable 10-2: Access matrix
SubSec 10.6.3,10.6.3,"If required, a railway may make additional restrictions to the access matrix. (O)"
SubSec 11.,11.,Functional numbering and location dependent addressing;
SubSec 11.1,11.1,General
SubSec 11.1.1,11.1.1,There is a requirement to be able to address communications to a ‘functional number’rather than a telephone number. Such numbers are generally only associated with auser for a limited period of time. (I)
SubSec 11.1.2,11.1.2,The addressing scheme can be divided into two areas: (I)- functional addressing;- location dependent addressing.
SubSec 11.2,11.2,Functional addressing
SubSec 11.2.1,11.2.1,Principles
SubSec 11.2.1.1,11.2.1.1,An addressing scheme shall be provided which permits users to be identified bynumbers corresponding to their functional roles rather than by numbers tied to theterminal equipment that they are using. (M)
SubSec 11.2.1.10,11.2.1.10,"It shall be possible to call EIRENE users by functional numbers from a wide range ofterminals (EIRENE and non-EIRENE). Examples include EIRENE mobiles, controllerterminals, railway fixed network telephones and public telephones. (All such calls willbe subject to any access restrictions – see section 10.3.) (M)"
SubSec 11.2.1.11,11.2.1.11,The functional addressing scheme should permit calls to be routed from a controller toan international train within the control area without reference to any EIRENE systemother than that providing service to the international train. (O)
SubSec 11.2.1.2,11.2.1.2,The primary usage of functional addressing will be for controllers to establishcommunications with train drivers by making use of the train number. The trainnumber will vary between journeys although EIRENE equipment in the cab is unlikelyto change. (I)
SubSec 11.2.1.3,11.2.1.3,"Other uses of functional addressing will include identifying on-train functions andother users performing particular roles such as shunting team leaders, maintenanceteam members, etc. (I)"
SubSec 11.2.1.4,11.2.1.4,It shall be possible to assign up to a minimum of 3 functional numbers to an EIRENEuser at any one time. (M)
SubSec 11.2.1.5,11.2.1.5,Only one EIRENE user shall be assigned to a given functional number at any one time.(M)
SubSec 11.2.1.6,11.2.1.6,Deleted.
SubSec 11.2.1.7,11.2.1.7,"A user shall be able to set up a functional number on one network, and cancel thenumber from another network. (M)"
SubSec 11.2.1.8,11.2.1.8,The functional number shall remain valid as a user roams from one network toanother. (M)
SubSec 11.2.1.9,11.2.1.9,"The functional addressing scheme shall be independent of specific configurations ofmobile and terminal equipment. For example, the functional number of a conductor onboard a particular train shall be the same irrespective of whether the conductoraccesses the network through the Cab radio or has a separate dedicated EIRENEmobile. (M)"
SubSec 11.2.2,11.2.2,Format of functional numbers
SubSec 11.2.2.1,11.2.2.1,"Functional numbers must be unique within the domain of operation. Since the numbermust be independent of networks, each number must be unique across all networks(including implementation of EIRENE facilities on public networks). (M)"
SubSec 11.2.2.2,11.2.2.2,The functional number shall consist of numeric characters only. (M)
SubSec 11.2.2.3,11.2.2.3,"If alphanumeric numbers are applied by a national railway, the railway will beresponsible for the translation to unique numeric functional numbers compatible withthe EIRENE specification. (I)"
SubSec 11.2.3,11.2.3,Presentation of functional identity
SubSec 11.2.3.1,11.2.3.1,The functional identity of the called user shall be presented to the user initiating a calland the functional identity of the initiator shall be presented to the user receiving a call.(M)
SubSec 11.2.3.2,11.2.3.2,"For broadcast and group voice communications, the functional identity provided shallbe that of the broadcast or group identity. (M)"
SubSec 11.2.3.3,11.2.3.3,"If the user initiating the call has more than one functional identity, the user shall beable to select, prior to call establishment, which functional identity is presented to thereceiving user. (M)"
SubSec 11.2.3.4,11.2.3.4,"In the case of Cab radio, when a train number is assigned as a functional identity, thisshall take priority over other Cab radio functional identities, and shall be the functionalidentity for the Cab radio to be displayed to other users. (M)"
SubSec 11.2.3.5,11.2.3.5,The functional identity shall be presented to the user in a form which can be readilyunderstood (eg ‘driver of train abcd’ rather than ‘abcd01’ or ‘xyz shunting team 3’rather than ‘xyz03’). (M)
SubSec 11.3,11.3,Functional addressing registration procedures principles
SubSec 11.3.1,11.3.1,Three procedures can be identified for managing the relationship between thefunctional number and the telephone number by the mobile user as defined below. (I)
SubSec 11.3.2,11.3.2,Registration
SubSec 11.3.2.1,11.3.2.1,The functional addressing scheme shall be supported by a straightforward procedurefor registration of functional numbers. This procedure shall be carried out by the useron commencement of the functional role. (M)
SubSec 11.3.2.2,11.3.2.2,The functional number registration facility shall be supported by all EIRENE userequipment. (M)
SubSec 11.3.2.2i,11.3.2.2i,"It should be possible for the system to prevent certain types of users from registeringfunctional numbers that they are not authorised to use, for example: (O)- train number;- driver of train;- shunting team leader."
SubSec 11.3.2.3,11.3.2.3,It shall be possible to register up to ten functional numbers to items of equipmentphysically connected to the Cab radio within 30 seconds. (M)
SubSec 11.3.2.4,11.3.2.4,The registration procedure shall provide a means to prevent mis-allocation offunctional numbers during registration. (M)
SubSec 11.3.2.5,11.3.2.5,Duplicate functional numbers (eg two trains with the same train number) shall beprevented. (M)
SubSec 11.3.2.6,11.3.2.6,"The system shall provide a means to recover consistent data sets following a systemfailure during which functional addressing facilities are lost. During this recoveryperiod, the system shall not permit the use of unverified functional numbers. (M)"
SubSec 11.3.3,11.3.3,Deregistration
SubSec 11.3.3.1,11.3.3.1,The functional addressing scheme shall be supported by a straightforward procedurefor deregistration of functional numbers. This procedure shall be carried out by theuser at the end of the functional role. (M)
SubSec 11.3.3.2,11.3.3.2,The functional number deregistration facility shall be supported by all EIRENE userequipment. (M)
SubSec 11.3.3.3,11.3.3.3,It shall be possible to deregister up to ten functional numbers to items of equipmentphysically connected to the Cab radio within 30 seconds. (M)
SubSec 11.3.3.4,11.3.3.4,"In addition, a given set of users shall also be allowed to: (M)- deregister a functional number which is no longer valid but which has not beenderegistered by the user;- deregister, by overriding, another user of the same type (eg a driver can deregistera train number that another driver has forgotten to deregister);- deregister, with one action, all functional numbers associated with the same mobile(eg the driver deregisters all functions at the end of the journey)."
SubSec 11.3.3.5,11.3.3.5,An EIRENE mobile shall remove the displayed functional number and provide anindication to the user that deregistration has taken place. (M)
SubSec 11.3.4,11.3.4,Re-registration
SubSec 11.3.4.1,11.3.4.1,"To allow roaming between EIRENE networks, the system shall support a procedure forthe re-registration of functional numbers after selection of a new network. (M)"
SubSec 11.3.4.2,11.3.4.2,This procedure shall be carried out without manual intervention. (M)
SubSec 11.3.4.3,11.3.4.3,"After automatic re-registration is performed, the new registration details shall bedisplayed to the user. (M)"
SubSec 11.4,11.4,Location dependent addressing
SubSec 11.4.1,11.4.1,Location dependent addressing shall be provided to route calls for a given function toa destination number that is dependent upon the user’s location. (M)
SubSec 11.4.2,11.4.2,"The functions to which calls shall be routed based upon the location of the mobile shallinclude: (M)- Primary controller;- Secondary controller;- Power supply controller;- Train management centre (eg RBC, CTS)."
SubSec 11.4.3,11.4.3,"The correspondence between the locations and the destination of the call shall be easilyre-configurable to support dynamic changes in controller area boundaries (egcontroller area boundaries will change from peak to off-peak periods during theworking day or over longer periods, areas may change to match changes in railwayorganisation or traffic demand). (M)"
SubSec 11.4.4,11.4.4,"When operating with location dependent addressing, no manual action shall berequired to update the system when a mobile moves between locations. (M)"
SubSec 11.4.5,11.4.5,The location dependent addressing scheme shall be available to all mobiles. (M)
SubSec 11.4.6,11.4.6,"As a minimum, the location information used by the EIRENE system shall be derivedfrom that available from the network itself (eg current cell or base station serving themobile). (M)"
SubSec 11.4.7,11.4.7,"Where greater accuracy for location dependent addressing is required, additionallocation information may be provided by systems external to EIRENE. Sources of suchinformation may include: (O)a) ground-based signalling systems;b) on-train systems (eg ERTMS/ETCS equipment, balise readers, GPS etc).PAGE LEFT INTENTIONALLY BLANK"
SubSec 12.,12.,Text messaging;
SubSec 12.1,12.1,Introduction
SubSec 12.1.1,12.1.1,There is a requirement that the EIRENE system can be used as a bearer to support anapplication connected to the radio for exchange of text messages between ground andmobile(s) or mobile and ground. (I)
SubSec 12.1.2,12.1.2,The aim of this section is to define the features and level of performance required forthis service in order to ensure interoperability. (I)
SubSec 12.1.3,12.1.3,"There is no requirement for an internationally standardised pre-defined messagingapplication. However, it is anticipated that individual national railways may have arequirement for pre-defined messages, in which case the application should bespecified as part of individual national procurements. (I)"
SubSec 12.2,12.2,Definition of the service
SubSec 12.2.1,12.2.1,It should be possible to transfer text messages between ground and mobile(s) throughthe EIRENE system. (O)
SubSec 12.2.2,12.2.2,"In order to ensure interoperability, the service is optional for the ground andmandatory for the Cab radio. (M)"
SubSec 12.2.3,12.2.3,"If a message is safety related, the safety mechanisms will be included at the applicationlevel and do not concern the EIRENE system. (I)"
SubSec 12.3,12.3,Performance
SubSec 12.3.1,12.3.1,The maximum length of a message segment shall be 96 characters. A message caninclude several segments. (M)
SubSec 12.3.2,12.3.2,The transfer time for each message segment should be less then 30 seconds for 95% ofmessages. (O)
SubSec 12.3.3,12.3.3,The text message facility shall not interfere with the ability of users to use the radio.(M)
SubSec 12.4,12.4,Interface
SubSec 12.4.1,12.4.1,A standard data interface between the mobile and the application module shall beprovided. (M)
SubSec 13.,13.,Railway emergency calls;
SubSec 13.1,13.1,Introduction
SubSec 13.1.1,13.1.1,This section covers the use of the EIRENE radio system for Railway emergency calls.This section also describes the facility for confirmation of such emergency calls andstorage of confirmation for post-incident analysis. (I)
SubSec 13.1.2,13.1.2,This section describes the handling of high priority voice calls for railway operationalemergencies and does not cover public emergency calls (ie handling of ‘112’ calls). (I)
SubSec 13.1.3,13.1.3,There are two types of Railway emergency call: (I)- Train emergency call;- Shunting emergency call.
SubSec 13.1.4,13.1.4,"The type of call initiated shall be determined automatically, based upon the mode ofoperation of the radio. (M)"
SubSec 13.1.5,13.1.5,"If the mobile is in shunting mode, the emergency call button shall initiate a shuntingemergency call, otherwise the call shall be a Train emergency call. (M)Train emergency call"
SubSec 13.1.6,13.1.6,"The Train emergency call shall be sent to all drivers and controller(s) within an area,which is pre-defined to meet operational requirements. The predefined areas foremergency calls shall include, where necessary, parts of one or more network(s). (M)"
SubSec 13.1.6i,13.1.6i,The appropriate ERTMS/ETCS RBC should be informed when a Train emergency callis initiated. (O)Shunting emergency call
SubSec 13.1.7,13.1.7,The Shunting emergency call shall be sent to all users involved in shunting operationsin the shunting area. (M)
SubSec 13.1.8,13.1.8,The Shunting emergency call shall automatically take priority over the link assurancesignal. (M)
SubSec 13.2,13.2,Management of Railway emergency calls
SubSec 13.2.1,13.2.1,Summary
SubSec 13.2.1.1,13.2.1.1,A Railway emergency call may be defined in three distinct phases. These are: (I)- Stage 1: Warning;- Stage 2: Information;
SubSec 13.2.2,13.2.2,Stage 1: Warning
SubSec 13.2.2.1,13.2.2.1,A Railway emergency call shall be able to be initiated by using a simple MMI action(eg a single MMI action for the Cab and Operational radios). (M)
SubSec 13.2.2.2,13.2.2.2,A connection of Railway emergency priority (see section 10.2) shall be established to apre-determined set of receiving mobiles and controller(s). (M)
SubSec 13.2.2.3,13.2.2.3,"If the system is not able to connect the call, the system shall automatically keep tryingto connect the call for 30 seconds. (M)"
SubSec 13.2.2.3i,13.2.2.3i,During this period the user shall be provided with an audible and visual indicationthat the system is trying to connect the call. (M)
SubSec 13.2.2.3ii,13.2.2.3ii,"After the 30 second period, if the connection was unsuccessful, the system shallprovide another audible and visual indication that it was unable to connect the call.(M)"
SubSec 13.2.2.4,13.2.2.4,An audible indication of 5 seconds (to be confirmed by trials) shall be provided tooriginating and receiving users that the emergency function has been activated. (M)
SubSec 13.2.2.5,13.2.2.5,Different indications at the originating and receiving terminal may be provided. (O)
SubSec 13.2.2.6,13.2.2.6,A continuous visual indication that the emergency function has been activated shall beprovided at the originating and all receiving terminals. (M)
SubSec 13.2.2.7,13.2.2.7,"In the event that a train enters the affected area after the warning stage is complete, thesame audible and visual indications shall be provided. (M)"
SubSec 13.2.3,13.2.3,Stage 2: Information
SubSec 13.2.3.1,13.2.3.1,"A speech connection shall be established immediately following the warning tone, toallow the originator of the emergency call, to give information concerning the nature ofthe emergency. (M)"
SubSec 13.2.3.1i,13.2.3.1i,Speech should be possible to allow a controller receiving the warning tone to giveinformation. (O)
SubSec 13.2.3.2,13.2.3.2,"Additionally, speech should be possible to allow other mobile users receiving thewarning tone to give information. (O)"
SubSec 13.2.3.3,13.2.3.3,The information shall be received by the same set of users who received the warningtone. (M)
SubSec 13.2.4,13.2.4,Stage 3: Terminate Railway emergency call
SubSec 13.2.4.1,13.2.4.1,A Railway emergency call may only be terminated by: (M)- the originator of the call;- a controller participating in the call;- the network following a (nationally determined) period of no speech.
SubSec 13.2.4.2,13.2.4.2,"If the radio moves out of the area whilst the emergency call is in progress, an audibleand visual indication of the loss of the call shall be provided to the user. (M)"
SubSec 13.3,13.3,Receipt of Railway emergency calls
SubSec 13.3.1,13.3.1,Authorised EIRENE mobiles shall be able to receive a Railway emergency call at anytime while the mobile is powered up. (M)
SubSec 13.3.2,13.3.2,"For Railway emergency calls initiated by a mobile, the controller’s display willindicate:- location; (O)- the functional identity of the originating mobile, which includes the following:- the train number, if available; (M)- the engine number, if no train number is available; (M)- the coach number of the leading cab, if neither a train number nor an enginenumber is available. (O)"
SubSec 13.4,13.4,Confirmation of Railway emergency calls
SubSec 13.4.1,13.4.1,"For post-incident analysis, it is important that the origination and reception of Railwayemergency calls by mobiles is confirmed by a message sent to a ground-based centrallocation (and also recorded in the on-train recording device). (I)"
SubSec 13.4.2,13.4.2,The confirmation shall be generated automatically without input from the user. (M)
SubSec 13.4.3,13.4.3,The confirmation message shall commence at the end of the call or if the radio movesout of the call area. (M)
SubSec 13.4.4,13.4.4,"If the radio loses contact with the network, the mechanism shall commence as soon aspossible on regaining communications, for up to a maximum of 5 minutes withoutachieving contact. (M)"
SubSec 13.4.5,13.4.5,"For Railway emergency calls initiated by a mobile, the automatic confirmation messageof the initiating mobile shall contain: (M)- the time at call establishment;- the time at clear down;- the functional number of the call originator;- the train number and engine number of the call originator, if a train."
SubSec 13.4.6,13.4.6,"For Railway emergency calls received by a mobile, the automatic confirmation messageof the receiving mobile shall contain: (M)- the time at which the call was first received;- the time at which the call was lost (or terminated);- the group identity of the sender;- the functional number of the recipient;- the train number and engine number of the recipient, if a train."
SubSec 13.4.7,13.4.7,The confirmation message shall be received at the central location with a 99%probability of success within 5 minutes of call termination. (M)
SubSec 13.4.8,13.4.8,The performance of the confirmation procedure shall not be dependent upon thecurrent use of the mobile and shall not overload the network. (M)
SubSec 14.,14.,Shunting mode;
SubSec 14.1,14.1,Introduction
SubSec 14.1.1,14.1.1,Shunting mode is the term used to describe the application that will regulate andcontrol user access to facilities and features in the mobile while it is being used forshunting communications. (I)
SubSec 14.1.2,14.1.2,There is a requirement to regulate the membership of shunting groups to preventuncontrolled membership. (I)
SubSec 14.1.3,14.1.3,"During specific shunting operations where the driver is not able to see the way aheadand where he is therefore relying on information from another shunting member, alink assurance signal is needed to provide reassurance during “silent periods” that theradio link is still established. This signal is also employed to provide reassurance thatthis other shunting member is not incapacitated. (I)"
SubSec 14.2,14.2,Functional requirements
SubSec 14.2.1,14.2.1,The shunting call shall be a group call and shall have ‘Railway operation’ priority (seesection 10.2). (M)
SubSec 14.2.10,14.2.10,Deleted.
SubSec 14.2.11,14.2.11,It shall be possible for any member of the shunting group (including a driver) totransmit a shunting emergency call to all shunting groups in the area. (M)
SubSec 14.2.12,14.2.12,It shall be possible for all shunting drivers and shunting group members to receive ashunting emergency call from any equipment capable of taking part in shuntingcommunications. The shunting emergency call shall cause the audible link assurancesignal to be interrupted. (M)
SubSec 14.2.13,14.2.13,It should be possible for the system to record: (O)- shunting group composition at a given instant;- the source and time a shunting emergency call was transmitted;- the recipients of a shunting emergency call.
SubSec 14.2.14,14.2.14,"If a user, other than the shunting leader, attempts to make another call whilst being anactive member of a shunting group, the attempt shall be ignored. (M)"
SubSec 14.2.15,14.2.15,"If the radio is used by the team leader for a shunting group call (ie initiated theshunting group call), switching the radio off shall result in the termination of theshunting group call. (M)"
SubSec 14.2.2,14.2.2,"Throughout the duration of the shunting group call, it shall be possible for anymember of the shunting group to speak to all other members of the group, using thePTT function (as described in sections 5.2.2.53, 6.2.2.12 and 7.2.2.20), except duringtransmission of the link assurance signal. (M)"
SubSec 14.2.2i,14.2.2i,"During the transmission of the link assurance signal, only the originator of the linkassurance signal shall be able to speak to all other members using the PTT function.(M)"
SubSec 14.2.3,14.2.3,The shunting communication shall be protected from unintentional and unauthorisedaccess. (M)
SubSec 14.2.4,14.2.4,It shall be possible for all mobile members of the shunting group (except the driver) totransmit a link assurance signal. (M)
SubSec 14.2.5,14.2.5,"Within the shunting group, it shall be possible for only one member of the group totransmit the link assurance signal at any time. (M)"
SubSec 14.2.6,14.2.6,Operational radios used for shunting shall enable the link assurance signal to beactivated and de-activated by the shunting group member. (M)
SubSec 14.2.7,14.2.7,The link assurance signal should be used to reassure the driver of the integrity of themember at the head of the shunting movement. (O)
SubSec 14.2.8,14.2.8,Operational radios used for shunting shall be able to be switched between thefollowing two operating modes by a maintenance function: (M)
SubSec 14.2.9,14.2.9,"The link assurance signal shall be used to provide an audible indication to all groupmembers. For the driver, this indicates that the radio link is operational. (M)"
SubSec 14.3,14.3,Group membership
SubSec 14.3.1,14.3.1,"A shunting group shall be able to consist of the following mobile members: (M)- the shunting leader;- the shunting driver, who may remain fixed (ie in a shunting area) or may changeone or more times during a working period (ie passenger or freight stations);- up to three shunting team members."
SubSec 14.3.2,14.3.2,In addition to the above shunting group members:- a controller shall be able to be associated permanently or temporarily with theshunting group; (M)- a shunting manager or other person capable of taking part in a shuntingcommunication should be able to be temporarily associated with the shuntinggroup. (O)
SubSec 14.3.3,14.3.3,"It shall only be possible for the shunting leader to communicate with a person externalto the ongoing shunting communication. This may be initiated by either the shuntingleader or the external user. In the latter case, in order to avoid disturbing a shuntingmovement, the shunting leader should be informed by a visual and audible indication.The shunting leader can then choose the moment when he takes or rejects the call. (M)"
SubSec 14.3.4,14.3.4,The shunting leader shall then be able to allow the external user to join the shuntingcommunication. (M)
SubSec 14.3.5,14.3.5,National railways will be responsible for limiting the availability of equipment that iscapable of taking part in shunting communications to persons that are authorised toengage in such communications. (I)
SubSec 14.4,14.4,Link assurance signal
SubSec 14.4.1,14.4.1,The link assurance signal is a means to provide end-to-end confirmation between usersthat a voice communication link remains intact. This facility is required principally forthe safe conduct of pushing manoeuvres to assure continuing availability of the radiochannel while a shunting worker is guiding a train driver. (I)
SubSec 14.4.2,14.4.2,The link assurance signal shall consist of an intermittent audio tone (between 800 and
SubSec 14.4.3,14.4.3,"In order to fulfil the requirements of some railways, it should be possible to provide analternative means of link assurance indication. (O)"
SubSec 14.4.4,14.4.4,"This means will consist of an additional safety device (external to the radio system)interposed between the Cab radio and the loudspeaker with the purpose of muting thecontinuous link assurance signal for the driver’s convenience. In this case, the safetydevice will alert the driver only if the link assurance signal has failed or if it iscancelled. (I)"
SubSec 14.4.4i,14.4.4i,"Operational radios used for shunting shall be able to be switched between thefollowing two operating modes by a maintenance function: (M)- Mode A: the link assurance signal shall be interrupted, but not cancelled, when theinitiator of the link assurance signal presses the PTT to speak.- Mode B: the link assurance signal shall not be interrupted when the initiator of thelink assurance signal presses the PTT to speak."
SubSec 14.4.5,14.4.5,The link assurance signal shall be deactivated upon receipt of a shunting emergencycall. (M)
SubSec 14.4.6,14.4.6,"All members of the shunting group, other than the initiator of the link assurance signal,shall be unable to speak during the transmission of the link assurance signal. However,they shall be able to initiate a shunting emergency call at any time. (M)"
SubSec 14.5,14.5,Constraints
SubSec 14.5.1,14.5.1,"Operating flexibility:- it shall be possible to modify a shunting group’s composition during a workingperiod. The process for acceptance (or rejection) of new members, and foradmission and removal of temporary members, shall be simple. (M)"
SubSec 14.5.2,14.5.2,"Management flexibility:- in a given area, a radio set shall be capable of operation in any of the shuntinggroups in use in that area, subject to any user access restrictions. (M)"
SubSec 15.,15.,Direct mode;A. References.
SubSec 15.1,15.1,Introduction
SubSec 15.1.1,15.1.1,The operational requirement for direct mode is to: (I)- provide short range fall-back communications between train drivers and tracksidepersonnel in the event of failure of mobile telephony services normally available;- provide short range communications for railway personnel operating in remoteareas where no mobile telephony facilities are available.
SubSec 15.2,15.2,Functional requirements
SubSec 15.2.1,15.2.1,"Implementation of direct mode is optional. Where the facility is provided, thefollowing requirements are mandatory. (O)"
SubSec 15.2.2,15.2.2,"Principal requirements are: (M – see above)- a range of up to at least 2000m in open terrain between a direct mode transmitterand receiver;- a voice only capability that supports the use of the link assurance signal;- ‘open channel’ mode of operation such that all users employing direct modereceive transmissions when in range of the transmitting user;- it is sufficient that the user may talk or listen only, but not both. The ability to talkshall be achieved through use of the Push-To-Talk function;- a minimum of one channel is to be available for use of direct mode facilities;- if more than one channel is provided, there must be a function allowing the user tomanually select the channel;- where equipment provides both normal and direct mode capability, the user shallbe able to switch between the two modes in a straightforward manner (but not byaccident);- the user may only select direct mode when the normal mobile telephony servicesare not available;- controls shall be simple to use, eg:- direct mode on/off switch;- Push-To-Talk function;- channel selection;- volume control;- battery warning for handportables;"
SubSec 2.,2.,Network requirements;
SubSec 2.1,2.1,Introduction
