,req,reqId,reqPriority,reqSeverity,reqType
863,Consider removing dashboard code,1465588,P1,normal,enhancement
874,Blob invalidation draws blob images at non integer offsets,1450126,P1,normal,enhancement
875,file:// needs to expand ~ to home directory in some OS,93141,P5,normal,enhancement
876,[BinAST] Update in-tree IDL,1472103,P3,normal,enhancement
877,Allow users to tag bugs from the buglist,95722,P3,normal,enhancement
880,Support running |mach python-test| against Python 3,1388013,--,normal,enhancement
884,Stop resetting the zoom when attempting to use the Smart Zoom feature (double-tap) in macOS,1505469,P5,normal,enhancement
885,Implement generic inline-edit functionality,96384,P3,normal,enhancement
886,Move ALL Bugzilla javascript into separate file(s),96983,P1,normal,enhancement
894,Support async painting component-alpha layers,1386965,--,normal,enhancement
895,"Instrument inspection of ""Change device selection"" in RDM settings with event telemetry",1480769,P2,normal,enhancement
896,[Static-Analysis][Clang-Tidy] Reflect min_clang_tidy in the actual analysis performed by mach static-analysis check.,1493940,--,normal,enhancement
898,Update webrender to b5f190951f27dd04067489b9fbbeb87f55765f57 (WR PR #3401),1513682,P3,normal,enhancement
899,No way to specify only applications can be chosen in file picker,97321,P3,normal,enhancement
900,Cleanup DebuggerClient from callbacks now that APIs return promises,1237598,--,normal,enhancement
901,[postgres] Implement postgres queries for GET /task/:taskId/status,1487741,--,normal,enhancement
902,Some Windows keyboard behaviours missing from trees,97434,--,normal,enhancement
903,"Factor window targeting, spec sandbox, and short circuit loads out of nsDocShell::InternalLoad",1471711,P2,normal,enhancement
904,Need way to search for bug in a given status on a specific date,98935,P3,normal,enhancement
906,stylo: Parallelize stylist::update,1362538,P4,normal,enhancement
907,"Ability to move content areas from tabs into new windows (Link/delink/detach tabs, port bug 225680)",102132,--,normal,enhancement
938,Ctrl-Enter to submit forms in TEXTAREA,102539,--,normal,enhancement
939,No keyboard access to link toolbar,102909,--,normal,enhancement
945,[META] Implement CSS Text Module Level 3,104960,--,normal,enhancement
961,Don't collect sessionstore data during a restore operation,1344715,--,normal,enhancement
962,spark-streaming - Allow developers to only update certain job jars,1468408,P3,normal,enhancement
963,Implement hooks to flush webrender resources when the window is minimized,1494099,P4,normal,enhancement
964,Filter for Attachments,105169,--,normal,enhancement
965,"Allow logins with github, and issue scopes based on repo access",1323871,--,normal,enhancement
971,Helper App Management,106074,P3,normal,enhancement
978,[UX] Option to scale webpage content to fit a user specified number of pages,106332,--,normal,enhancement
982,Field values for default fields should be able to be product-specific or product-inspecific,106592,P3,normal,enhancement
985,Update webrender to 1928351fe1169c4183df02039b3d541dc36de39e (WR PR 3250),1503527,P3,normal,enhancement
986,Stop registering the JS component loader,1492584,--,normal,enhancement
987,Use bayesian filters for other features than spam (junk mail),181866,--,normal,enhancement
988,Update webrender to 4b65822a2f7e1fed246a492f9fe193ede2f37d74,1457241,P3,normal,enhancement
991,Quick Search is doing the wrong thing in Threaded mode (View|Threads),107000,--,normal,enhancement
992,Mozilla mail doesn't open URLs in system default browser,108455,--,normal,enhancement
996,Select correct server for <news:msg-id> URLs,108877,--,normal,enhancement
997,Constrain referential integrity as applicable (foreign keys),109473,P3,normal,enhancement
1026,Fully customisable index page (channels).,109692,--,normal,enhancement
1027,language for spell-checker should be settable on a per from-address or account basis,316866,--,normal,enhancement
1028,Split screen/tabbed interface for multiple servers.,110550,--,normal,enhancement
1030,"Allow bulk edits to happen in the background, asynchronously",1508201,--,normal,enhancement
1031,Cannot remove local folders from Thunderbird UI (having either IMAP or POP account),110672,--,normal,enhancement
1036,Add New Contact to Groups & Mailing Lists,112970,--,normal,enhancement
1037,Implement the ability to add individual bugs to saved searches,313020,--,normal,enhancement
1038,"tracking bug for Preferences redesign & reorganization, panel content",114521,--,normal,enhancement
1044,Implement RenderAndroidSurfaceTextureHostOGL::DeleteTextureHandle(),1507667,P3,normal,enhancement
1046,can't drag-select in thread pane (Rectangle selection),114637,--,normal,enhancement
1049,Favicons for folders,114692,--,normal,enhancement
1051,support %u in mailcap helpers,115041,--,normal,enhancement
1053,Use |FILTER bug_link()| where appropriate to display a bug ID,115796,P3,normal,enhancement
1055,Tweak the prediction algorithm for Email fields.,1349492,P3,normal,enhancement
1056,Support multiple content processes when debugging service workers from about:debugging,1345928,P3,normal,enhancement
1057,Add internal Google Chrome separator color properties,1347190,P5,normal,enhancement
1059,Add a user pref to paste all comments in each bugmail,116863,--,normal,enhancement
1062,identites are sorted by creation time - better by email address,309975,--,normal,enhancement
1065,Limit Scope of Session Cookies (new tabs and windows),117222,--,normal,enhancement
1086,Allow multiple email addresses / phone & fax numbers / URLs per card,118665,P1,normal,enhancement
1103,Need ability to move component from product to product,119569,P2,normal,task
1104,Save compiled shader to disk during updating/installing Firefox,1468866,P3,normal,enhancement
1106,Better (cycling) default list-style-type for ULs (unordered lists),119753,P4,normal,enhancement
1107,[motion-1] Implement ray() function for offset-path,1480665,P3,normal,enhancement
1108,[RFE] File inputs should allow URLs,121059,P5,normal,enhancement
1109,"Need a ""Use Mozilla"" option on helper apps dialog",121498,--,normal,enhancement
1110,Search for elements by XPath selectors,963933,P2,normal,enhancement
1112,"Inter-Bugzilla Integration Capabilities (Dependencies, Moving, etc.)",123130,P1,normal,enhancement
1119,"[ux] error: connection failure copy,  design and illustration update",1358293,P1,normal,enhancement
1120,Remove the XPCOM component registration for nsDirIndex and nsDirIndexParser,1489365,P3,normal,enhancement
1121,"[UX] Need spec for the page-action menu's ""Share"" submenu/subview/subpanel",1360054,P1,normal,enhancement
1122,Convert <searchbar> to a Custom Element,1460982,P1,normal,task
1126,Custom keywords should support multiple substitutions (w/ code),124237,--,normal,enhancement
1127,Enable client/debugger/test/mochitest/browser_dbg_break-on-dom-event-02.js in e10s,1478231,P3,normal,enhancement
1128,"[META]Add AppleScript support and capabilities to Mozilla on Mac, e.g. AppleScript/OSA Script menu",125419,P5,normal,enhancement
1137,Include autofill profile emails in <input type=email> form manager results,1364602,P3,normal,enhancement
1138,Remove transition from toolbar button hover state,1393057,P1,normal,enhancement
1139,[de-xbl] Port bug - 1491756 to suite; Convert mail-tagfield to custom element.,1496175,--,normal,enhancement
1141,Explicitly log the value of the webrender pref in telemetry,1485156,P2,normal,enhancement
1142,"[SM] ""Get Msgs"" button should download all mail accounts",125885,--,normal,enhancement
1143,"Advanced Address Book Search needs additional buttons (Copy, Move) and/or context menu for found contacts/results",126331,--,normal,enhancement
1144,Search should find matched strings within popups and subdialogs,1352481,P1,normal,enhancement
1145,Full-screen: auto-hide toolbars,126718,--,normal,enhancement
1146,Remove some XPCOM registrations from Necko,1501404,--,normal,enhancement
1153,redirect moved bugs to new installation,127875,P4,normal,enhancement
1155,"add ""expunge now"" button to toolbar",127888,--,normal,enhancement
1157,RFE: Spell checker does not recognize capitalization errors.,128122,P3,normal,enhancement
1160,Need to be able to specify product/component when moving a bug,128613,--,normal,enhancement
1163,Add sliding functionality to personal toolbar separator (splitter),128963,--,normal,enhancement
1165,"[meta] Add guard pages before and after arenas, chunks, and runs",1446040,P1,normal,task
1166,[meta] Meta bug: hook up XUL accesskeys throughout the UI,129179,P3,normal,enhancement
1167,consistent styling of bug lists,130276,--,normal,enhancement
1168,replace progressmeter XBL binding by a custom element,1491197,P5,normal,task
1169,"Should refuse to send mail when address ends in tld "".invalid""",29497,P3,normal,enhancement
1170,Enable ESLint for dom/browser-element,1508823,P3,normal,enhancement
1171,"Move ""When new messages arrives"" to ""Server Settings""",448713,--,normal,enhancement
1172,Make Bugzilla's index.cgi (home page) useful for logged-in users,130835,P1,normal,enhancement
1178,Some very long CONTENT_FRAME_PROCESSING_TIME_MS with WebRender,1490799,P2,normal,enhancement
1179,[meta][devtools-addon] Create a UI shim to install/bootstrap devtools addon,1361080,P3,normal,enhancement
1186,[meta] Implement missing page-break-* CSS2.1 features,132035,P3,normal,enhancement
1187,[tracking] APIs to control behavior after tab closing,1459402,P3,normal,enhancement
1188,Add a pref to disable the user activation/gesture requirement for PaymentRequest.show(),1491996,P1,normal,enhancement
1189,support building nss on hpux with gcc and GNU-as,551188,P2,normal,enhancement
1191,inter/cross-installation dependencies,134294,--,normal,enhancement
1192,Theming API - Experiments,1347205,P5,normal,enhancement
1194,MDSM would dispatch LOTS audio decoding tasks when we seek audio directly to EOS during looping decoding,1512506,P2,normal,enhancement
1200,"Add ""None"" button for client authentication, change cancel to cancel connection",135403,P3,normal,enhancement
1201,"Composition: Need ability to manipulate multiple recipients simultaneously (multiple selection of email addresses, e-mail contacts, delete, copy, toggle To/CC/Bcc etc.)",136897,--,normal,enhancement
1202,Stop loading FormAutofillUtils at process startup,1474140,P1,normal,enhancement
1203,"404 & ""cannot find"" Alert",175704,--,normal,enhancement
1207,want way to hand URL to helper apps without downloading whole document first (for streaming),137339,--,normal,enhancement
1208,Disable XP talos testing on all branches,1317716,--,normal,task
1209,Implement orphans and widows,137367,P3,normal,enhancement
1211,Prioritize first tab in loading bookmark groups,141615,--,normal,enhancement
1215,"RFE: Visual indication of denying from ""scripts & windows"" a popup window, or other javascript functions",142458,--,normal,enhancement
1216,[meta] allow user to override script's choice of windows,142712,P5,normal,enhancement
1224,[META] CSS3 writing-mode (vertical text),145503,--,normal,enhancement
1234,keyboard shortcuts for snips (pre-defined text),147854,--,normal,enhancement
1237,"[RFE] menu/key for ""Paste as Quotation"" for textarea",151332,P3,normal,enhancement
1239,"RFE: Arabic numeral behaviour should listen to the system setting, if any",151374,--,normal,enhancement
1240,[RFE] per-filter import and export (anti-spam),151612,--,normal,enhancement
1242,Install and No thanks actions should block and hide CFR message,1486867,P1,normal,enhancement
1243,new Filepicker filters for Nvu,152289,--,normal,enhancement
1244,[RFE] allow privileged access to clipboard from scripts,153868,--,normal,enhancement
1246,Allow saved searches to be renamed,156662,--,normal,enhancement
1247,Vendor dav1d and create MediaDataDecoder wrapper,1493400,P2,normal,enhancement
1250,show_bug should use etag or last-modified to allow caching,156865,--,normal,enhancement
1252,Add default implementations to delegate interfaces,1509901,P2,normal,enhancement
