,BinaryClass,CosSimilarity,MultiClass,SemSimilarity,req1,req1Id,req1Priority,req1Severity,req1Type,req2,req2Id,req2Priority,req2Severity,req2Type
4,1,0,similar,0,Allow opening multiple new URLs in new windows at once. (need a way to open many links in new tabs at once),9274,--,normal,enhancement,web-platform-tests: assess which tests only run in non-e10s and determine if we can run them in e10s or lose coverage,1391387,P3,normal,enhancement
5,1,0,similar,0,Allow opening multiple new URLs in new windows at once. (need a way to open many links in new tabs at once),9274,--,normal,enhancement,[postgres] Figure out how to support pagination,1487756,--,normal,enhancement
0,1,0,requires,0,robustcheckout telemetry improvements,1506958,--,normal,enhancement,Message headers don't scroll with the message,9942,--,normal,enhancement
0,1,0,similar,0,Message headers don't scroll with the message,9942,--,normal,enhancement,Implement orphans and widows,137367,P3,normal,enhancement
1,1,0,similar,0,Message headers don't scroll with the message,9942,--,normal,enhancement,Address Book does not read vcard 3.0 correctly,1457108,--,normal,task
2,1,0,similar,0,Message headers don't scroll with the message,9942,--,normal,enhancement,Don't use nsStringBuffer for dynamic atoms,1447951,--,normal,enhancement
3,1,0,similar,0,Message headers don't scroll with the message,9942,--,normal,enhancement,"Move ""HTML"" to ""Composition & Addressing""",448701,--,normal,enhancement
0,1,0,requires,0,"Implement drag & drop of attached messages to mail folders (*.eml, message/rfc822 type mime attachments)",11013,--,normal,enhancement,[notifications] Add ability to send manual notifications via email,1374577,P3,normal,enhancement
0,1,0,similar,0,"Implement drag & drop of attached messages to mail folders (*.eml, message/rfc822 type mime attachments)",11013,--,normal,enhancement,Remove the XPCOM component registration for nsHttpServer,1488235,--,normal,enhancement
1,1,0,similar,0,"Implement drag & drop of attached messages to mail folders (*.eml, message/rfc822 type mime attachments)",11013,--,normal,enhancement,Email list should have a 2 row option,413288,--,normal,enhancement
2,1,0,similar,0,"Implement drag & drop of attached messages to mail folders (*.eml, message/rfc822 type mime attachments)",11013,--,normal,enhancement,xhr/send-redirect-to-cors.htm XMLHttpRequest: send() - Redirect to CORS-enabled resource assert_equals: expected 0 but got 200,1361991,P3,normal,enhancement
3,1,0,similar,0,"Implement drag & drop of attached messages to mail folders (*.eml, message/rfc822 type mime attachments)",11013,--,normal,enhancement,[meta] Experimentally implement CSS Scrollbars Module Level 1,1460109,--,normal,enhancement
0,1,0,requires,0,"Implement new filter actions: Auto reply, forward, bounce",11034,P3,normal,enhancement,Block setting cookies from trackers when restricting 3rd party storage,1475708,--,normal,enhancement
1,1,0,requires,0,"Implement new filter actions: Auto reply, forward, bounce",11034,P3,normal,enhancement,Implement new Markdown editor widget with text formatting toolbar and keyboard shortcuts,1476107,--,normal,enhancement
0,1,0,requires,0,[remote-dbg-next] Share a single client between about:debugging and about:devtools-toolbox,1497457,P1,normal,enhancement,"Implement new filter actions: Auto reply, forward, bounce",11034,P3,normal,enhancement
1,1,0,requires,0,[meta] improve developer experience,1505392,P5,normal,task,"Implement new filter actions: Auto reply, forward, bounce",11034,P3,normal,enhancement
2,1,0,requires,0,stylo: Keep the UA parts of the stylist across changes to document sheets,1382925,P1,normal,enhancement,"Implement new filter actions: Auto reply, forward, bounce",11034,P3,normal,enhancement
0,1,0,similar,0,"Implement new filter actions: Auto reply, forward, bounce",11034,P3,normal,enhancement,Send DidComposite messages for pipelines that weren't actually rendered,1473352,P2,normal,enhancement
1,1,0,similar,0,"Implement new filter actions: Auto reply, forward, bounce",11034,P3,normal,enhancement,Have Jim convert some subset of about:addons to Fluent,1491679,P2,normal,enhancement
2,1,0,similar,0,"Implement new filter actions: Auto reply, forward, bounce",11034,P3,normal,enhancement,Update sync iconography for Photon,1366844,P1,normal,enhancement
3,1,0,similar,0,"Implement new filter actions: Auto reply, forward, bounce",11034,P3,normal,enhancement,Developer Tools UI improvements,1339623,P3,normal,enhancement
4,1,0,similar,0,"Implement new filter actions: Auto reply, forward, bounce",11034,P3,normal,enhancement,Remove unused imports from Telemetry,1354039,P3,normal,enhancement
5,1,0,similar,0,"Implement new filter actions: Auto reply, forward, bounce",11034,P3,normal,enhancement,Prototype new tab opening/closing animations,1355588,P4,normal,enhancement
6,1,0,similar,0,"Implement new filter actions: Auto reply, forward, bounce",11034,P3,normal,enhancement,deviceIds can be obtained cross-origin by a rogue content process,1490475,P3,normal,enhancement
7,1,0,similar,0,"Implement new filter actions: Auto reply, forward, bounce",11034,P3,normal,enhancement,Add the search icon in the search input field,1360491,P1,normal,enhancement
8,1,0,similar,0,"Implement new filter actions: Auto reply, forward, bounce",11034,P3,normal,enhancement,migrate eslint (mostly) from local packages to vendored node_modules,1491028,P2,normal,task
9,1,0,similar,0,"Implement new filter actions: Auto reply, forward, bounce",11034,P3,normal,enhancement,"PBackgroundLocalStorageCache, PBackgroundSDBConnection, PCacheStorage can be constructed with fraudulent principal, origin, private browsing id",1494457,P3,normal,enhancement
10,1,0,similar,0,"Implement new filter actions: Auto reply, forward, bounce",11034,P3,normal,enhancement,RemotePageManager.jsm should be loaded lazily,1369466,--,normal,enhancement
11,1,0,similar,0,"Implement new filter actions: Auto reply, forward, bounce",11034,P3,normal,enhancement,[meta] improve developer experience,1505392,P5,normal,task
12,1,0,similar,0,"Implement new filter actions: Auto reply, forward, bounce",11034,P3,normal,enhancement,Update webrender to 1619d945e853db14a9d62ed75dce7216ff3cdbc2 (WR PR #3366),1511661,P3,normal,enhancement
13,1,0,similar,0,"Implement new filter actions: Auto reply, forward, bounce",11034,P3,normal,enhancement,stylo: Keep the UA parts of the stylist across changes to document sheets,1382925,P1,normal,enhancement
14,1,0,similar,0,"Implement new filter actions: Auto reply, forward, bounce",11034,P3,normal,enhancement,Add support for the PLAINTEXT signature method to oauth.jsm,793749,--,normal,enhancement
15,1,0,similar,0,"Implement new filter actions: Auto reply, forward, bounce",11034,P3,normal,enhancement,Cache native widget pixels for redraws,1452832,P3,normal,enhancement
16,1,0,similar,0,"Implement new filter actions: Auto reply, forward, bounce",11034,P3,normal,enhancement,Snap partial updates: Delta service failed to apply delta successfully,1453026,--,normal,enhancement
17,1,0,similar,0,"Implement new filter actions: Auto reply, forward, bounce",11034,P3,normal,enhancement,[mozinfo] Add support for Python 3,1471625,P3,normal,enhancement
18,1,0,similar,0,"Implement new filter actions: Auto reply, forward, bounce",11034,P3,normal,enhancement,Update the ESLint builders to use the node toolchain rather than pre-installing node on the docker images,1493610,P3,normal,task
19,1,0,similar,0,"Implement new filter actions: Auto reply, forward, bounce",11034,P3,normal,enhancement,passwordreset.mozilla.org has an invalid certificate chain,1365378,--,normal,task
20,1,0,similar,0,"Implement new filter actions: Auto reply, forward, bounce",11034,P3,normal,enhancement,Enhancement of URL scheme for compressed directories,132008,--,normal,enhancement
21,1,0,similar,0,"Implement new filter actions: Auto reply, forward, bounce",11034,P3,normal,enhancement,Remove nsITextScroll,1480641,P2,normal,enhancement
22,1,0,similar,0,"Implement new filter actions: Auto reply, forward, bounce",11034,P3,normal,enhancement,Implement URL canonizing via Ctrl key,1512652,P2,normal,enhancement
23,1,0,similar,0,"Implement new filter actions: Auto reply, forward, bounce",11034,P3,normal,enhancement,Backtrack 1.0,1507282,P5,normal,task
0,1,0,requires,0,Filter by example (create a filter based on a message you're viewing),11036,--,normal,enhancement,Failure in xhr/access-control-basic-cors-safelisted-request-headers.htm,1495880,P1,normal,enhancement
0,1,0,requires,0,[remote-dbg-next] Share a single client between about:debugging and about:devtools-toolbox,1497457,P1,normal,enhancement,Filter by example (create a filter based on a message you're viewing),11036,--,normal,enhancement
0,1,0,similar,0,Filter by example (create a filter based on a message you're viewing),11036,--,normal,enhancement,[meta] Ideas for mitigating CSRF holes in web sites,322301,P3,normal,enhancement
1,1,0,similar,0,Filter by example (create a filter based on a message you're viewing),11036,--,normal,enhancement,Cookies like to move around,1454100,P2,normal,enhancement
2,1,0,similar,0,Filter by example (create a filter based on a message you're viewing),11036,--,normal,enhancement,Support saving color palettes,1225965,P3,normal,enhancement
3,1,0,similar,0,Filter by example (create a filter based on a message you're viewing),11036,--,normal,enhancement,Move JS code out of bug/edit.html.tmpl,566331,--,normal,enhancement
4,1,0,similar,0,Filter by example (create a filter based on a message you're viewing),11036,--,normal,enhancement,StoreUserInteractionAsPermission can be forged by a rogue content process,1501082,P3,normal,enhancement
5,1,0,similar,0,Filter by example (create a filter based on a message you're viewing),11036,--,normal,enhancement,Key Result 3.1: Add shortcuts @google @amazon & @tab,1518694,--,normal,enhancement
6,1,0,similar,0,Filter by example (create a filter based on a message you're viewing),11036,--,normal,enhancement,"RFE - Make ""sound events"" configurable per channel",285270,--,normal,enhancement
7,1,0,similar,0,Filter by example (create a filter based on a message you're viewing),11036,--,normal,enhancement,Address Book WebExtensions API,1469238,--,normal,enhancement
8,1,0,similar,0,Filter by example (create a filter based on a message you're viewing),11036,--,normal,enhancement,Allow to cycle through values without having to remove them first,1338645,P3,normal,enhancement
0,1,0,requires,0,add Javascript filter actions (not criteria),11037,--,normal,enhancement,Awesomebar styling / animation tweaks,1352164,P3,normal,enhancement
1,1,0,requires,0,add Javascript filter actions (not criteria),11037,--,normal,enhancement,Implement new Markdown editor widget with text formatting toolbar and keyboard shortcuts,1476107,--,normal,enhancement
2,1,0,requires,0,add Javascript filter actions (not criteria),11037,--,normal,enhancement,Add option in preferences to disable Background Update Agent,1483399,P3,normal,enhancement
0,1,0,requires,0,[remote-dbg-next] Share a single client between about:debugging and about:devtools-toolbox,1497457,P1,normal,enhancement,add Javascript filter actions (not criteria),11037,--,normal,enhancement
0,1,0,similar,0,add Javascript filter actions (not criteria),11037,--,normal,enhancement,Add telemetry probe measuring total paint thread rasterization time,1483245,P3,normal,enhancement
1,1,0,similar,0,add Javascript filter actions (not criteria),11037,--,normal,enhancement,Update Content Blocking exception button in the control center,1501986,P1,normal,enhancement
0,1,0,requires,0,Customisable notifications,411074,--,normal,enhancement,"Allow filters to control biff UI (i.e. only notify me of ""important"" messages)",11040,P3,normal,enhancement
1,1,0,requires,0,Synchronously flush CaptureCommandList when it gets too large,1478815,P3,normal,enhancement,"Allow filters to control biff UI (i.e. only notify me of ""important"" messages)",11040,P3,normal,enhancement
0,1,0,similar,0,"Allow filters to control biff UI (i.e. only notify me of ""important"" messages)",11040,P3,normal,enhancement,Enable record and replay of ClientPaintedLayers on the main thread,1371037,--,normal,enhancement
1,1,0,similar,0,"Allow filters to control biff UI (i.e. only notify me of ""important"" messages)",11040,P3,normal,enhancement,Unify CSS for 'summary boxes',1207335,--,normal,enhancement
2,1,0,similar,0,"Allow filters to control biff UI (i.e. only notify me of ""important"" messages)",11040,P3,normal,enhancement,[Wayland] Use wl_proxy_wrapper() to create thread safe objects,1471246,--,normal,enhancement
3,1,0,similar,0,"Allow filters to control biff UI (i.e. only notify me of ""important"" messages)",11040,P3,normal,enhancement,privatebrowsing support for find api,1516710,P1,normal,enhancement
4,1,0,similar,0,"Allow filters to control biff UI (i.e. only notify me of ""important"" messages)",11040,P3,normal,enhancement,RFE: Customizable keyboard shortcuts,542750,--,normal,enhancement
5,1,0,similar,0,"Allow filters to control biff UI (i.e. only notify me of ""important"" messages)",11040,P3,normal,enhancement,Fix and enable clang-tidy's bool-pointer-implicit-conversion warnings,1473453,P3,normal,enhancement
6,1,0,similar,0,"Allow filters to control biff UI (i.e. only notify me of ""important"" messages)",11040,P3,normal,enhancement,Implement redesigned settings panel with edit functionality,1487857,P3,normal,enhancement
7,1,0,similar,0,"Allow filters to control biff UI (i.e. only notify me of ""important"" messages)",11040,P3,normal,enhancement,"""Accept third-party cookies and site data"" -> ""From visited"" broken with localStorage",1462802,--,normal,enhancement
8,1,0,similar,0,"Allow filters to control biff UI (i.e. only notify me of ""important"" messages)",11040,P3,normal,enhancement,[meta] Implement W3C Payment Request API,1318984,P2,normal,enhancement
9,1,0,similar,0,"Allow filters to control biff UI (i.e. only notify me of ""important"" messages)",11040,P3,normal,enhancement,Toolbar buttons WebExtensions API,1487008,--,normal,enhancement
10,1,0,similar,0,"Allow filters to control biff UI (i.e. only notify me of ""important"" messages)",11040,P3,normal,enhancement,Generalize Baseline type update stubs,1368509,--,normal,enhancement
11,1,0,similar,0,"Allow filters to control biff UI (i.e. only notify me of ""important"" messages)",11040,P3,normal,enhancement,Unit tests for the Grid Outline component,1356474,P3,normal,enhancement
12,1,0,similar,0,"Allow filters to control biff UI (i.e. only notify me of ""important"" messages)",11040,P3,normal,enhancement,Remove JS::CloneFunctionObject,1524590,P3,normal,task
13,1,0,similar,0,"Allow filters to control biff UI (i.e. only notify me of ""important"" messages)",11040,P3,normal,enhancement,Replace temporary application panel icon with final one,1454678,P4,normal,enhancement
14,1,0,similar,0,"Allow filters to control biff UI (i.e. only notify me of ""important"" messages)",11040,P3,normal,enhancement,Add Off the Record Messaging support,955116,--,normal,enhancement
15,1,0,similar,0,"Allow filters to control biff UI (i.e. only notify me of ""important"" messages)",11040,P3,normal,enhancement,Too many pinned links causes RangeError: invalid array length,1482484,P1,normal,enhancement
16,1,0,similar,0,"Allow filters to control biff UI (i.e. only notify me of ""important"" messages)",11040,P3,normal,enhancement,Ability to rearrange toolbars (by drag and drop),15322,--,normal,enhancement
17,1,0,similar,0,"Allow filters to control biff UI (i.e. only notify me of ""important"" messages)",11040,P3,normal,enhancement,"Implement ""stable"" clock based on Kinto clock skew",1367366,P3,normal,enhancement
0,1,0,similar,0,Auto-watch threads you've posted to (Preference),11048,--,normal,enhancement,Support pref-based enabling/disabling of messages/providers for AS Router experiments,1472000,P2,normal,enhancement
1,1,0,similar,0,Auto-watch threads you've posted to (Preference),11048,--,normal,enhancement,ARM64: Implement Lowering register helpers,1498386,P2,normal,enhancement
2,1,0,similar,0,Auto-watch threads you've posted to (Preference),11048,--,normal,enhancement,[remote-dbg-next] add mochitest to test that clicking on refresh devices does not disconnect USB runtime,1503914,P1,normal,enhancement
3,1,0,similar,0,Auto-watch threads you've posted to (Preference),11048,--,normal,enhancement,Cookie namespaces and named tabs,275188,--,normal,enhancement
4,1,0,similar,0,Auto-watch threads you've posted to (Preference),11048,--,normal,enhancement,Ability to define keyboard shortcuts for bookmarks,47199,P3,normal,enhancement
5,1,0,similar,0,Auto-watch threads you've posted to (Preference),11048,--,normal,enhancement,Strings for UI Tour Content Blocking in product,1484583,P1,normal,enhancement
0,1,0,requires,0,Use mozStorage or IndexedDB instead of Mork for the message summary database,11050,--,critical,task,Developer Tools UI improvements,1339623,P3,normal,enhancement
1,1,0,requires,0,Use mozStorage or IndexedDB instead of Mork for the message summary database,11050,--,critical,task,"Wish list: Distinguish ""Open link"" and ""Open link in New Window"" easily",313116,--,normal,enhancement
0,1,0,requires,0,Add plumbing for Telemetry for new network process,1486033,P3,normal,enhancement,Use mozStorage or IndexedDB instead of Mork for the message summary database,11050,--,critical,task
0,1,0,requires,0,Make Bugzilla::Version use Bugzilla::Object,339385,--,normal,enhancement,JS errors in event handlers lack file and line number info,11240,P5,normal,enhancement
0,1,0,requires,0,View as different media (mime) type support,11521,--,normal,enhancement,Update webrender to 7a1b919e37d6cd0155077aa90f98cfcdf9fa5bae,1479432,P3,normal,enhancement
0,1,0,requires,0,Browsing context target actor: refactor Protocol.js actor pools,1473513,P3,normal,enhancement,View as different media (mime) type support,11521,--,normal,enhancement
1,1,0,requires,0,"[RFE]Should be able to ""Edit Frame"" as implemented in 4.x",29162,P1,normal,enhancement,View as different media (mime) type support,11521,--,normal,enhancement
2,1,0,requires,0,Update webrender to 8a4fe66528aa362721e4048aac3cd5abf7faaf2c,1477970,P3,normal,enhancement,View as different media (mime) type support,11521,--,normal,enhancement
0,1,0,similar,0,View as different media (mime) type support,11521,--,normal,enhancement,want way to hand URL to helper apps without downloading whole document first (for streaming),137339,--,normal,enhancement
1,1,0,similar,0,View as different media (mime) type support,11521,--,normal,enhancement,Support textcolor for static themes on Android,1493519,P5,normal,enhancement
2,1,0,similar,0,View as different media (mime) type support,11521,--,normal,enhancement,Fix RGBA format handling in SurfaceTextureHost::PushResourceUpdates(),1507669,P3,normal,enhancement
3,1,0,similar,0,View as different media (mime) type support,11521,--,normal,enhancement,CORS Preflight Cache can be cleared by a rogue Content Process,1490093,P3,normal,enhancement
0,1,0,requires,0,Fix incorrectly-written retry loop in nsUnicodeNormalizer,1378683,--,normal,enhancement,"LDAP autocomplete should resolve LDAP mailing lists (groups, compose window)",12409,P3,normal,enhancement
0,1,0,similar,0,"LDAP autocomplete should resolve LDAP mailing lists (groups, compose window)",12409,P3,normal,enhancement,Audit dependencies with --display-optimization-bailout for 63 [recurring],1476683,P2,normal,enhancement
1,1,0,similar,0,"LDAP autocomplete should resolve LDAP mailing lists (groups, compose window)",12409,P3,normal,enhancement,"Redirection blocking should have an additional ""Always allow this site"" button",446114,--,normal,enhancement
0,1,0,requires,0,"Commands in listener.js have to check if ""current browsing context"" is open (fails for removed frames)",1493108,P2,normal,enhancement,"Implement more platform-specific keybindings (sparc help key, mac help key, windows menu key, etc.)",13168,P3,normal,enhancement
1,1,0,requires,0,Stop reinitializing textures in WebRender,1497665,P2,normal,enhancement,"Implement more platform-specific keybindings (sparc help key, mac help key, windows menu key, etc.)",13168,P3,normal,enhancement
0,1,0,similar,0,"Implement more platform-specific keybindings (sparc help key, mac help key, windows menu key, etc.)",13168,P3,normal,enhancement,Don't load content-UITour.js until needed,1479310,P1,normal,enhancement
0,1,0,requires,0,"Support WebDAV protocol for publishing (revision, etc.; Composer-specific UI and code)",13383,--,normal,enhancement,Add vchin@mozilla.com to the perfteam Github team,1575275,--,normal,task
1,1,0,requires,0,"Support WebDAV protocol for publishing (revision, etc.; Composer-specific UI and code)",13383,--,normal,enhancement,add delta_ts column to profiles (provide a last modified timestamp for users),600118,--,normal,enhancement
0,1,0,requires,0,Indicate whether a link will open in a new window,14027,P3,normal,enhancement,Provide some support for debugging/inspecting flexbox layouts,1114973,P3,normal,enhancement
0,1,0,requires,0,Don't broadcast every blob URL to every content process,1513132,--,normal,enhancement,Indicate whether a link will open in a new window,14027,P3,normal,enhancement
0,1,0,similar,0,Indicate whether a link will open in a new window,14027,P3,normal,enhancement,Debugger runnables should be able to interrupt running scripts.,1241964,P3,normal,enhancement
1,1,0,similar,0,Indicate whether a link will open in a new window,14027,P3,normal,enhancement,"currency-amount.js is a javascript module and shouldn't define ""use strict"";",1517753,P5,normal,enhancement
2,1,0,similar,0,Indicate whether a link will open in a new window,14027,P3,normal,enhancement,Provide image scaling for embedded images,534083,--,normal,enhancement
3,1,0,similar,0,Indicate whether a link will open in a new window,14027,P3,normal,enhancement,Prototype Extending DevTools Fission infrastructure to access frames across processes,1478174,P2,normal,enhancement
4,1,0,similar,0,Indicate whether a link will open in a new window,14027,P3,normal,enhancement,[wpt-sync] Sync PR 12906 - CSS: Serialize path string using absolute commands,1489847,P4,normal,enhancement
5,1,0,similar,0,Indicate whether a link will open in a new window,14027,P3,normal,enhancement,Filter outgoing/Sent messages (perhaps to use a different Sent/FCC folder),11039,--,normal,enhancement
6,1,0,similar,0,Indicate whether a link will open in a new window,14027,P3,normal,enhancement,[meta] WebRender projects,1476801,P5,normal,enhancement
7,1,0,similar,0,Indicate whether a link will open in a new window,14027,P3,normal,enhancement,[Fission] Make the context menu Fission-aware,1505909,P3,normal,enhancement
8,1,0,similar,0,Indicate whether a link will open in a new window,14027,P3,normal,enhancement,Resolve reindexing errors from ES 1.x=>5.x,1380442,--,normal,task
9,1,0,similar,0,Indicate whether a link will open in a new window,14027,P3,normal,enhancement,Rename nsIScrollableFrame::GetAnchor to nsIScrollableFrame::Anchor,1520363,P3,normal,enhancement
10,1,0,similar,0,Indicate whether a link will open in a new window,14027,P3,normal,enhancement,Connect the markup-view to multiple remote fission frames,1573777,P2,normal,enhancement
11,1,0,similar,0,Indicate whether a link will open in a new window,14027,P3,normal,enhancement,A mute button,394543,--,normal,enhancement
12,1,0,similar,0,Indicate whether a link will open in a new window,14027,P3,normal,enhancement,Migrate servo to community taskcluster deployment,1574648,--,normal,task
13,1,0,similar,0,Indicate whether a link will open in a new window,14027,P3,normal,enhancement,Blackboxed sources do not persist across toolbox close/reopen,1092863,--,normal,enhancement
14,1,0,similar,0,Indicate whether a link will open in a new window,14027,P3,normal,enhancement,[UX] about:license content and design update,1356555,P1,normal,enhancement
15,1,0,similar,0,Indicate whether a link will open in a new window,14027,P3,normal,enhancement,Throttle GenerateFrame(),1365196,--,normal,enhancement
16,1,0,similar,0,Indicate whether a link will open in a new window,14027,P3,normal,enhancement,Translate the display item clip directly to a webrender clip for DisplayItemLayers instead of using MaskLayers,1375059,--,normal,enhancement
17,1,0,similar,0,Indicate whether a link will open in a new window,14027,P3,normal,enhancement,Implement the margin-trim property from CSS Box Level 3,1506241,P3,normal,enhancement
18,1,0,similar,0,Indicate whether a link will open in a new window,14027,P3,normal,enhancement,[postgres] Document requirements of POST /task/:taskId/runs/:runId/failed,1487723,--,normal,enhancement
19,1,0,similar,0,Indicate whether a link will open in a new window,14027,P3,normal,enhancement,"Wasm baseline: On platforms with HeapReg, always use known-constant heap address as offset",1329576,P5,normal,enhancement
20,1,0,similar,0,Indicate whether a link will open in a new window,14027,P3,normal,enhancement,Room History: SFO-750 7B (Bimbo 365 / The Warfield),724018,--,normal,task
21,1,0,similar,0,Indicate whether a link will open in a new window,14027,P3,normal,enhancement,"Optimize fastload system (mmap fileIO, endianness, packed structs)",412796,--,normal,enhancement
22,1,0,similar,0,Indicate whether a link will open in a new window,14027,P3,normal,enhancement,"Disable devicelight, deviceproximity and userproximity events",1359076,P3,normal,enhancement
0,1,0,requires,0,Remove the XPCOM component registration for nsCommandManager,1488111,P3,normal,enhancement,"Handle editing of frameset documents [and iframe's, too]",14156,--,normal,enhancement
0,1,0,similar,0,"Handle editing of frameset documents [and iframe's, too]",14156,--,normal,enhancement,Land Webcompat GoFaster webextension port in Desktop,1498278,P1,normal,enhancement
1,1,0,similar,0,"Handle editing of frameset documents [and iframe's, too]",14156,--,normal,enhancement,Obsolete bad changesets on the autoland repo,1365318,--,normal,enhancement
2,1,0,similar,0,"Handle editing of frameset documents [and iframe's, too]",14156,--,normal,enhancement,Remove “Reload All Tabs” from Tab context menu,1480532,P3,normal,enhancement
3,1,0,similar,0,"Handle editing of frameset documents [and iframe's, too]",14156,--,normal,enhancement,improve balrog authentication story,1369384,P3,normal,enhancement
4,1,0,similar,0,"Handle editing of frameset documents [and iframe's, too]",14156,--,normal,enhancement,"Firefox download page must pass through params, but NOT as utm_",1511104,--,normal,enhancement
5,1,0,similar,0,"Handle editing of frameset documents [and iframe's, too]",14156,--,normal,enhancement,[remote-dbg-next] Register about:debugging-new for nightly/local builds,1512454,P1,normal,enhancement
0,1,0,requires,0,don't popup new windows while mouse button is down,14716,--,normal,enhancement,Port search() to UrlbarInput.jsm,1521629,P1,normal,enhancement
0,1,0,requires,0,Sidewinder UI on iPads in SFO 1 and 2 does not display room names.,922365,--,normal,task,[RFE] Allow bookmarking of e-mail/Usenet messages,14988,P3,normal,enhancement
0,1,0,similar,0,[RFE] Allow bookmarking of e-mail/Usenet messages,14988,P3,normal,enhancement,Update table and reftypes instructions to spec encodings,1507493,P3,normal,enhancement
1,1,0,similar,0,[RFE] Allow bookmarking of e-mail/Usenet messages,14988,P3,normal,enhancement,WebSocket Inspector Test: Clear frames,1575329,--,normal,enhancement
